,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
131,Coming Home,,,,['Drama'],['W.LayneMcdonald'],,,
132,Beauty and the Beast,71,80,PG,"['Fantasy', 'Musical', 'Kids&family', 'Romance']",['BillCondon'],"['DavidHoberman', 'ToddLieberman']","['Mar 17', '2017']",504.0M
133,Nightcrawler,95,86,R,"['Drama', 'Crime', 'Mystery&thriller']",['DanGilroy'],"['MichelLitvak', 'JakeGyllenhaal', 'DavidLancaster', 'JenniferFox', 'TonyGilroy']","['Oct 31', '2014']",32.4M
134,Earth to Echo,50,47,PG,"['Drama', 'Kids&family', 'Sci-fi', 'Adventure']",['DaveGreen'],"['RyanKavanaugh', 'AndrewPanay']","['Jul 2', '2014']",38.9M
135,That Awkward Moment,22,46,R,"['Comedy', 'Romance']",['TomGormican'],"['JustinNappi', ""AndrewO'Connor"", 'ScottAversano', 'KevinTuren']","['Jan 31', '2014']",26.0M
136,Love on the Cloud,,69,,['Comedy'],['ChangweiGu'],,,
137,Oculus,75,53,R,"['Horror', 'Mystery&thriller']",['MikeFlanagan'],"['TrevorMacy', 'MarcD.Evans']","['Apr 11', '2014']",27.7M
138,The Great Hypnotist,,,,,,,,
139,Kick,46,50,,"['Romance', 'Action']",['SajidNadiadwala'],['SajidNadiadwala'],"['Jul 25', '2014']",2.5M
140,Asterix and Obelix: Mansion of the Gods,71,63,,"['Comedy', 'Animation']","['LouisClichy', 'AlexandreAstier']","['ThomasValentin', 'PhilippeBony', 'JanGoossen']",,
141,Thermae Romae II,,40,,['Comedy'],['HidekiTakeuchi'],,,
142,Bang Bang,14,53,,"['Comedy', 'Romance', 'Action', 'Adventure']",['SiddharthAnand'],['PrashantShah'],"['Oct 2', '2014']",2.5M
143,Detective Conan: The Sniper from Another Dimension,,70,,"['Anime', 'Action', 'Adventure']",['KobunShizuno'],['MichihikoSuwa'],,
144,Rurouni Kenshin: The Legend Ends,,80,,['Action'],['KeishiOhtomo'],['SatoshiFukushima'],,
145,"As Above, So Below",26,40,R,"['Horror', 'Mystery&thriller']",['JohnErickDowdle'],"['ThomasTull', 'JonJashni', 'DrewDowdle', 'PatrickAiello']","['Aug 29', '2014']",21.2M
146,This Is Where I Leave You,44,59,R,"['Drama', 'Comedy']",['ShawnLevy'],"['PaulaWeinstein', 'ShawnLevy', 'JeffLevine']","['Sep 19', '2014']",34.3M
147,Boonie Bears: To the Rescue,,,,"['Animation', 'Action']","['LeonDing', 'FuyuanLiu']","['MingLi', 'FuyuanLiu']",,
