movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Tokyo Revengers,698201,tt11923304,Takumi Kitamura,6.685,Ryo Yoshizawa,8.778,Yuki Yamada,12.968,Yosuke Sugino,10.87,Mio Imada,15.456
Nomadland,581734,tt9770150,Frances McDormand,16.265,David Strathairn,12.809,Linda May,1.943,Swankie,1.122,Gay DeForest,1.4
Resident Evil: Welcome to Raccoon City,460458,tt6920084,Kaya Scodelario,44.822,Robbie Amell,32.842,Hannah John-Kamen,19.542,Tom Hopper,15.505,Avan Jogia,9.923
King Richard,614917,tt9620288,Will Smith,33.966,Aunjanue Ellis,13.528,Saniyya Sidney,8.719,Demi Singleton,1.938,Tony Goldwyn,8.646
Nightmare Alley,597208,tt7740496,Bradley Cooper,38.912,Cate Blanchett,18.898,Toni Collette,24.141,Willem Dafoe,27.4,Richard Jenkins,11.093
The Yinyang Master,758902,tt12151820,Chen Kun,8.38,Zhou Xun,12.814,William Chan Wai-Ting,13.425,Qu Chuxiao,9.261,Wang Likun,4.584
Rurouni Kenshin: Final Chapter Part I - The Final,602063,tt11809034,Takeru Satoh,16.147,Emi Takei,10.023,Mackenyu,17.367,Munetaka Aoki,4.937,Yu Aoi,8.369
The Door Lock,878706,tt13010918,Bai Baihe,3.959,Bai Ke,1.946,Fan Chengcheng,3.868,Wang Zixuan,7.106,Marc Ma,0.802
Arashi Anniversary Tour 5 x 20 Film: Record of Memories,,,,,,,,,,,,
I Fell in Love Like a Flower Bouquet,695932,tt11219254,Masaki Suda,9.285,Kasumi Arimura,24.14,Kaya Kiyohara,17.293,Kanata Hosoda,9.218,Joe Odagiri,3.567
Malignant,619778,tt3811906,Annabelle Wallis,40.876,Maddie Hasson,11.773,George Young,3.325,Michole Briana White,7.208,Jean Louisa Kelly,8.571
Big Red Envelope,792003,tt13917134,Bao Bei Er,7.902,Clara Lee,10.63,Zhang Yiming,0.6,Jia Bing,1.96,Xu Juncong,1.216
Masquerade Night,824202,tt13582738,Takuya Kimura,10.54,Masami Nagasawa,13.437,Fumiyo Kohinata,2.967,Zen Kajihara,1.686,Eisuke Sasai,4.475
Once Upon a Time in Hong Kong,814781,tt14466064,Louis Koo,16.886,Tony Leung Ka-fai,11.318,Francis Ng,8.953,Gordon Lam,8.718,Philip Keung,6.731
Home Sweet Home,654974,tt11012066,Ellie Kemper,14.265,Rob Delaney,8.391,Archie Yates,4.318,Aisling Bea,10.28,Pete Holmes,7.99
Respect,592863,tt2452150,Jennifer Hudson,3.43,Forest Whitaker,11.654,Marlon Wayans,12.773,Audra McDonald,5.26,Mary J. Blige,5.134
