movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
42,109410,tt0453562,Chadwick Boseman,13.943,Harrison Ford,17.858,Nicole Beharie,4.661,Christopher Meloni,11.433,Ryan Merriman,11.897
The Mortal Instruments: City of Bones,123553,tt1538403,Lily Collins,16.043,Jamie Campbell Bower,9.206,Robert Sheehan,12.674,Kevin Zegers,10.105,Jemima West,9.249
Rush,2109,tt0120812,Jackie Chan,33.882,Chris Tucker,12.283,Ken Leung,11.81,Tom Wilkinson,15.722,Tzi Ma,12.582
Police Story: Lockdown,219572,tt2599716,Jackie Chan,33.882,Liu Ye,10.933,Jing Tian,19.77,Yin Tao,8.32,Na Wei,4.158
The Internship,116741,tt2234155,Vince Vaughn,17.127,Owen Wilson,46.143,Rose Byrne,25.865,Aasif Mandvi,5.281,Max Minghella,10.976
The Purge,158015,tt2184339,Ethan Hawke,21.79,Lena Headey,28.319,Max Burkholder,6.17,Adelaide Kane,8.678,Edwin Hodge,11.033
Dhoom 3,44977,tt1833673,Aamir Khan,7.036,Katrina Kaif,7.378,Abhishek Bachchan,3.088,Uday Chopra,0.84,Riya Ray,0.6
Pain & Gain,134374,tt1980209,Mark Wahlberg,49.465,Dwayne Johnson,29.99,Anthony Mackie,17.839,Tony Shalhoub,11.465,Ed Harris,14.475
About Time,122906,tt2194499,Domhnall Gleeson,21.575,Rachel McAdams,31.909,Bill Nighy,26.247,Tom Hollander,17.615,Margot Robbie,31.358
American Dreams in China,196325,tt2278392,Huang Xiaoming,10.146,Deng Chao,6.787,Tong Dawei,3.997,Du Juan,2.266,Yi Yang,1.932
Snowpiercer,110415,tt1706620,Chris Evans,15.319,Song Kang-ho,24.694,Ed Harris,14.475,John Hurt,13.274,Tilda Swinton,17.432
Carrie,7342,tt0319970,Angela Bettis,7.754,Patricia Clarkson,15.092,Rena Sofer,13.721,Kandyse McClure,10.56,Emilie de Ravin,12.515
Finding Mr. Right,188183,tt2169322,Tang Wei,19.768,Wu Xiubo,14.706,Hai Qing,6.518,Mai Hongmei,9.463,Elaine Jin,3.35
