,release_date_year__2010,release_date_year__2011,release_date_year__2012,release_date_year__2013,release_date_year__2014,release_date_year__2015,release_date_year__2016,release_date_year__2017,release_date_year__2018,release_date_year__2019,release_date_year__2020,release_date_year__2021,release_date_year__2022,Rating__1,Rating__2,Rating__3,Rating__4,Rating__5,release_date_quarter__2,release_date_quarter__3,release_date_quarter__4,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Movie Title
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.015,6.2,2852,105,58.0,63.0,69.0,75.125,7.092,4.828,2.7574,30.76923077,3500000.0,22194574,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gooische vrouwen
48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,57.216,7.2,11910,122,58.0,63.0,69.0,47.062,7.092,4.828,6.8584,-100.0,8000000.0,50587661,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,War of the Arrows
49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.864,5.6,1762,136,58.0,63.0,69.0,25.25,7.092,4.828,10.313,41.37931034,117000000.0,686257563,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Detective Chinatown 3
50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.761,5.3,3877,110,58.0,63.0,69.0,47.062,7.092,4.828,2.8078,6.433,6000000.0,35000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Welcome to the North
51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11.378,7.3,6971,109,58.0,63.0,69.0,57.375,0.664,4.828,8.4994,80.02628121,7000000.0,39730433,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midnight Runners
52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.178,4.2,5286,94,6.0,43.0,69.0,47.062,1.38,0.6,2.7792,40.625,5900000.0,31116264,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mrs. Brown's Boys D'Movie
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,106.922,7.4,7700,95,58.0,100.0,69.0,48.375,7.092,4.828,8.4048,15.38461538,35000000.0,183442714,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stand by Me Doraemon
54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23.369,6.8,27031,120,58.0,63.0,69.0,34.625,7.092,4.828,7.3246,28.79256966,15000000.0,77947607,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Shin Godzilla
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.697,6.8,3414,137,82.0,68.0,69.0,38.75,2.587,0.6,11.1444,99.0881459,7000000.0,35941291,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kundo: Age of the Rampant
56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10.559,6.8,4394,130,83.0,76.0,69.0,62.5,7.092,4.828,10.0858,70.77363897,38272500.0,188116796,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Project Gutenberg
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,25.403,7.5,207503,119,58.0,63.0,69.0,41.25,7.092,4.828,22.2464,39.15243517,11000000.0,53939297,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I, Tonya"
58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17.851,6.1,7484,99,58.0,67.0,69.0,47.062,3.379,1.327,4.917,6.433,18500000.0,87761857,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serial (Bad) Weddings 2
59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,20.102,5.9,688,96,58.0,63.0,69.0,23.625,8.529,4.828,9.6328,12.94117647,25000000.0,117991727,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P Storm
60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52.658,5.9,8052,92,58.0,40.0,69.0,47.062,2.563,1.86725,2.977,-44.68085106,10500000.0,49490859,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tad: The Lost Explorer
61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.561,2.3,3214,113,20.0,12.0,69.0,42.0,7.092,4.352333333,15.1612,35.06493506,40000000.0,181732879,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,From Vegas to Macau III
62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20.027,6.8,12021,139,58.0,82.0,69.0,47.062,0.6,4.828,7.4194,6.433,8000000.0,36220872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,T-34
63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,19.148,7.2,9724,125,58.0,63.0,69.0,47.062,7.092,4.828,12.3168,-61.9047619,5500000.0,24340302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,The Witch: Part 1 - The Subversion
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24.757,7.8,4846,129,82.0,95.0,69.0,25.625,3.758,4.828,15.965,71.42857143,12308000.0,53834292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987: When the Day Comes
65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10.9,6.7,2034,110,80.0,67.0,69.0,35.5,3.842,1.148,5.8196,-68.57142857,7120949.0,29433930,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dark Figure of Crime
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.848,5.4,14415,145,58.0,63.0,69.0,62.625,7.092,4.828,3.741,61.57894737,6071922.0,25097277,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Housefull 2
67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16.444,7.4,5834,111,100.0,81.0,69.0,91.75,1.949,1.476,3.31,53.52286774,8800000.0,35755670,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heidi
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.874,7.1,10215,102,67.0,67.0,69.0,47.062,2.115,0.6,5.329,6.433,7000000.0,27533970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Women on the 6th Floor
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.172,5.3,1697,104,13.0,22.0,69.0,30.875,7.092,4.649,10.08,-81.81818182,16000000.0,62515046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The White Haired Witch of Lunar Kingdom
70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11.355,6.5,8147,90,67.0,47.0,69.0,41.25,10.695,1.6765,6.2362,51.55279503,7546570.0,29370592,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alibi.com
