,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
30,Pixels,"244,874,809","78,747,585",32.2,"166,127,224",67.8,18.0,46.0,PG-13,ChrisColumbus,"AllenCovert,MarkRadcliffe,ChrisColumbus,AdamSandler",7-24-2015,78700000.0,5.6,140785,movie,Pixels,0,2015,105,"Action,Comedy,Fantasy"
31,Daddy's Home,"242,786,137","150,357,137",61.9,"92,429,000",38.1,30.0,49.0,PG-13,SeanAnders,"WillFerrell,AdamMcKay,ChrisHenchy,JohnMorris",12-25-2015,150300000.0,6.1,117675,movie,Daddy's Home,0,2015,96,"Comedy,Family"
32,Spy,"235,666,219","110,825,712",47,"124,840,507",53,95.0,78.0,R,PaulFeig,"PeterChernin,JennoTopping,PaulFeig,JessieHenderson",6-5-2015,,7.0,241475,movie,Spy,0,2015,120,"Action,Comedy"
33,Alvin and the Chipmunks: The Road Chip,"234,798,636","85,886,987",36.6,"148,911,649",63.4,15.0,51.0,PG,WaltBecker,"JaniceKarman,RossBagdasarianJr.",12-18-2015,85900000.0,5.0,19182,movie,Alvin and the Chipmunks: The Road Chip,0,2015,92,"Adventure,Animation,Comedy"
34,Goodbye Mr. Loser,"228,122,928","1,293,626",0.6,"226,829,302",99.4,,80.0,,"Da-MoPeng,FeiYan",,10-9-2015,1300000.0,6.7,2779,movie,Xia Luo te fan nao,0,2015,104,Comedy
35,Ted 2,"215,863,606","81,476,385",37.7,"134,387,221",62.3,44.0,50.0,R,SethMacFarlane,"ScottStuber,SethMacFarlane,JasonClark,JohnJacobs",6-26-2015,81300000.0,6.3,202247,movie,Ted 2,0,2015,115,Comedy
36,Tomorrowland,"209,035,668","93,436,322",44.7,"115,599,346",55.3,50.0,49.0,PG,BradBird,"DamonLindelof,BradBird,JeffreyChernov",5-22-2015,93400000.0,6.4,180388,movie,Tomorrowland,0,2015,130,"Action,Adventure,Family"
37,Everest,"203,427,584","43,482,270",21.4,"159,945,314",78.6,72.0,68.0,PG-13,BaltasarKormákur,"TimBevan,EricFellner,BaltasarKormákur,NickyKentishBarnes,BrianOliver,TylerThompson",9-25-2015,43200000.0,7.1,214035,movie,Everest,0,2015,121,"Action,Adventure,Biography"
38,Straight Outta Compton,"201,634,991","161,197,785",79.9,"40,437,206",20.1,89.0,91.0,R,F.GaryGray,"IceCube,TomicaWoods-Wright,MattAlvarez,F.GaryGray,ScottBernstein,Dr.Dre",8-14-2015,161000000.0,7.8,196169,movie,Straight Outta Compton,0,2015,147,"Biography,Drama,History"
39,The Intern,"194,564,672","75,764,672",38.9,"118,800,000",61.1,59.0,73.0,PG-13,NancyMeyers,"NancyMeyers,SuzanneFarwell",9-25-2015,75600000.0,7.1,245006,movie,The Intern,0,2015,121,"Comedy,Drama"
40,Jian Bing Man,"186,683,536",-,-,"186,683,536",100,,55.0,,DaPeng,,,300.0K,5.6,1184,movie,Jian bing xia,0,2015,113,Comedy
41,Jupiter Ascending,"183,887,723","47,387,723",25.8,"136,500,000",74.2,28.0,38.0,PG-13,"LillyWachowski,LanaWachowski","GrantHill,LillyWachowski,LanaWachowski",2-6-2015,47400000.0,5.3,186879,movie,Jupiter Ascending,0,2015,127,"Action,Adventure,Sci-Fi"
42,Creed,"173,567,581","109,767,581",63.2,"63,800,000",36.8,95.0,89.0,PG-13,RyanCoogler,"IrwinWinkler,RobertChartoff,CharlesWinkler,WilliamChartoff,DavidWinkler,KevinKingTempleton,SylvesterStallone",11-25-2015,109700000.0,7.6,265974,movie,Creed,0,2015,133,"Action,Drama,Sport"
43,Fantastic Four,"167,882,881","56,117,548",33.4,"111,765,333",66.6,9.0,18.0,PG-13,JoshTrank,"SimonKinberg,MatthewVaughn,HutchParker,RobertKulzer,GregoryGoodman",8-7-2015,56000000.0,4.3,162784,movie,Fantastic Four,0,2015,100,"Action,Adventure,Sci-Fi"
44,Bridge of Spies,"165,478,348","72,313,754",43.7,"93,164,594",56.3,91.0,87.0,PG-13,StevenSpielberg,"StevenSpielberg,MarcPlatt,KristieMacoskoKrieger",10-16-2015,72300000.0,7.6,305481,movie,Bridge of Spies,0,2015,142,"Drama,History,Thriller"
45,From Vegas to Macau II,"163,877,532",-,-,"163,877,532",100,,,,,,,,4.6,1076,movie,Du cheng feng yun II,0,2015,109,"Action,Adventure,Comedy"
46,Focus,"158,762,963","53,862,963",33.9,"104,900,000",66.1,,,,ChristopherYoung,,,,6.6,240378,movie,Focus,0,2015,105,"Comedy,Crime,Drama"
47,Goosebumps,"158,260,952","80,080,379",50.6,"78,180,573",49.4,78.0,62.0,PG,RobLetterman,"DeborahA.Forte,NealH.Moritz",10-16-2015,80100000.0,6.3,87066,movie,Goosebumps,0,2015,103,"Adventure,Comedy,Fantasy"
48,Ip Man 3,"156,954,938","2,679,437",1.7,"154,275,501",98.3,76.0,73.0,PG-13,WilsonYip,RaymondPak-MingWong,1-22-2016,2500000.0,7.0,54234,movie,Yip Man 3,0,2015,105,"Action,Biography,Drama"
49,The Hateful Eight,"155,760,117","54,117,416",34.7,"101,642,701",65.3,74.0,76.0,R,QuentinTarantino,"RichardN.Gladstein,StaceySher,ShannonMcIntosh",12-30-2015,54100000.0,7.8,574482,movie,The Hateful Eight,0,2015,168,"Crime,Drama,Mystery"
50,Monkey King: Hero Is Back,"153,262,397",-,-,"153,262,397",100,,52.0,PG,TianXiaoPeng,"WeiLu,HuiLiang,NingLin,YonganXu,FengYi",7-29-2016,,6.8,4221,movie,Xi you ji zhi da sheng gui lai,0,2015,89,"Action,Adventure,Animation"
51,The Last Witch Hunter,"146,936,910","27,367,660",18.6,"119,569,250",81.4,18.0,43.0,PG-13,BreckEisner,"MarkCanton,VinDiesel,BernieGoldmann",10-23-2015,27400000.0,5.9,102509,movie,The Last Witch Hunter,0,2015,106,"Action,Adventure,Fantasy"
52,Trainwreck,"140,795,793","110,212,700",78.3,"30,583,093",21.7,84.0,66.0,R,JuddApatow,"JuddApatow,BarryMendel",7-17-2015,,6.2,135722,movie,Trainwreck,0,2015,125,"Comedy,Drama,Romance"
53,Mr. Six,"139,191,345","1,415,450",1,"137,775,895",99,,,,,,,,6.9,3807,movie,Lao pao er,0,2015,134,"Action,Drama"
54,Point Break,"133,718,711","28,782,481",21.5,"104,936,230",78.5,11.0,29.0,,EricsonCore,,,,5.3,62035,movie,Point Break,0,2015,114,"Action,Adventure,Crime"
55,The Big Short,"133,440,870","70,259,870",52.7,"63,181,000",47.3,89.0,88.0,R,AdamMcKay,"BradPitt,DedeGardner,JeremyKleiner,ArnonMilchan",12-23-2015,70200000.0,7.8,412806,movie,The Big Short,0,2015,130,"Biography,Comedy,Drama"
56,Pan,"128,388,320","35,088,320",27.3,"93,300,000",72.7,27.0,40.0,PG,JoeWright,"GregBerlanti,SarahSchechter,PaulWebster",10-9-2015,35100000.0,5.7,63396,movie,Pan,0,2015,111,"Adventure,Comedy,Family"
57,Detective Chinatown,"125,842,935","474,252",0.4,"125,368,683",99.6,,73.0,,SichengChen,ZhiXiChen,1-15-2016,435.7K,6.6,2627,movie,Tang ren jie tan an,0,2015,136,"Action,Comedy,Mystery"
58,Wolf Totem,"125,837,070","210,591",0.2,"125,626,479",99.8,67.0,50.0,PG-13,Jean-JacquesAnnaud,,9-11-2015,,6.6,5857,movie,Le dernier loup,0,2015,121,"Adventure,Drama"
59,Dragon Blade,"122,593,849","74,068",<0.1,"122,519,781",99.9,,,,,,,,5.9,19752,movie,Tian jiang xiong shi,0,2015,127,"Action,Drama,Fantasy"
60,Magic Mike XXL,"117,813,057","66,013,057",56,"51,800,000",44,65.0,55.0,R,GregoryJacobs,"NickWechsler,GregoryJacobs,ChanningTatum,ReidCarolin",7-1-2015,66000000.0,5.6,55231,movie,Magic Mike XXL,0,2015,115,"Comedy,Drama,Music"
61,Insidious: Chapter 3,"112,983,889","52,218,558",46.2,"60,765,331",53.8,58.0,51.0,PG-13,LeighWhannell,"JasonBlum,OrenPeli,JamesWan",6-5-2015,52200000.0,6.1,102345,movie,Insidious: Chapter 3,0,2015,97,"Horror,Mystery,Thriller"
62,Get Hard,"111,711,453","90,411,453",80.9,"21,300,000",19.1,28.0,45.0,R,EtanCohen,"WillFerrell,AdamMcKay,ChrisHenchy",3-27-2015,90400000.0,6.0,133268,movie,Get Hard,0,2015,100,"Comedy,Crime"
63,Paul Blart: Mall Cop 2,"107,588,225","71,038,190",66,"36,550,035",34,6.0,33.0,PG,AndyFickman,"ToddGarner,KevinJames,AdamSandler,JackGiarraputo",4-17-2015,71000000.0,4.4,37007,movie,Paul Blart: Mall Cop 2,0,2015,94,"Action,Comedy,Crime"
64,Vacation,"107,228,221","58,884,188",54.9,"48,344,033",45.1,27.0,45.0,R,"JonathanM.Goldstein,JohnFrancisDaley","DavidDobkin,ChrisBender",7-29-2015,58900000.0,6.1,109082,movie,Vacation,0,2015,99,"Adventure,Comedy"
65,The Man from U.N.C.L.E.,"107,045,109","45,445,109",42.5,"61,600,000",57.5,68.0,73.0,PG-13,GuyRitchie,"JohnDavis,LionelWigram,GuyRitchie,SteveClark-Hall",8-14-2015,45400000.0,7.2,299815,movie,The Man from U.N.C.L.E.,0,2015,116,"Action,Adventure,Comedy"
66,Chronicles of the Ghostly Tribe,"106,380,000",-,-,"106,380,000",100,,,,,,,,5.2,1704,movie,Jiu ceng yao ta,0,2015,118,"Action,Adventure,Drama"
67,Shaun the Sheep Movie,"106,209,378","19,375,982",18.2,"86,833,396",81.8,99.0,81.0,PG,"MarkBurton,RichardStarzak","JulieLockhart,PaulKewley",8-5-2015,19400000.0,7.3,40109,movie,Shaun the Sheep Movie,0,2015,85,"Adventure,Animation,Comedy"
68,Sisters,"105,011,053","87,044,645",82.9,"17,966,408",17.1,,,,YaminaBenguigui,PhilippeDupuis-Mendel,10-29-2021,,6.0,66080,movie,Sisters,0,2015,118,Comedy
69,Chappie,"102,811,889","31,569,268",30.7,"71,242,621",69.3,32.0,56.0,R,NeillBlomkamp,"NeillBlomkamp,SimonKinberg",3-6-2015,31600000.0,6.8,245978,movie,Chappie,0,2015,120,"Action,Crime,Drama"
70,Joy,"101,134,059","56,451,232",55.8,"44,682,827",44.2,60.0,57.0,PG-13,DavidO.Russell,"JohnDavis,KenMok,MeganEllison,JonathanGordon,DavidO.Russell",12-25-2015,56400000.0,6.6,135021,movie,Joy,0,2015,124,"Biography,Drama"
71,Black Mass,"99,775,678","62,575,678",62.7,"37,200,000",37.3,73.0,68.0,R,ScottCooper,"JohnLesher,BrianOliver,ScottCooper,PatrickMcCormick,TylerThompson",9-18-2015,62600000.0,6.9,177202,movie,Black Mass,0,2015,123,"Biography,Crime,Drama"
72,Spotlight,"98,690,254","45,055,776",45.7,"53,634,478",54.3,97.0,93.0,R,TomMcCarthy,"MichaelSugar,SteveGolin,NicoleRocklin,BlyePagonFaust",11-20-2015,45000000.0,8.1,456956,movie,Spotlight,0,2015,129,"Biography,Crime,Drama"
