,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
141,You Will Meet a Tall Dark Stranger,46,34,R,"['Drama', 'Comedy']",['WoodyAllen'],"['LettyAronson', 'JaumeRoures', 'StephenTenenbaum']","['Sep 22', '2010']",3.2M
142,Faster,42,52,R,"['Action', 'Mystery&thriller']",['GeorgeTillmanJr.'],"['MartinShafer', 'LizGlotzer', 'TonyGayton', 'RobertTeitel']","['Nov 24', '2010']",23.2M
143,The Kids Are All Right,92,74,R,"['Drama', 'Lgbtq+', 'Comedy']",['LisaCholodenko'],"['GaryGilbert', 'JeffreyKusama-Hinte', 'CelineRattray', 'JordanHorowitz', 'DanielaTaplinLundberg']","['Jul 30', '2010']",20.8M
144,Doraemon The Movie: Nobita's Great Battle of the Mermaid King,,,,,,,,
145,The Extraordinary Adventures of Adèle Blanc-Sec,85,54,PG,"['Adventure', 'Mystery&thriller', 'Fantasy', 'Action']",['LucBesson'],['VirginieSilla'],,
146,Camping 2,,13,,['Comedy'],['FabienOnteniente'],,,
147,Arthur 3: The War of the Two Worlds,20,42,PG,"['Kids&family', 'Fantasy', 'Animation', 'Adventure']",['LucBesson'],"['LucBesson', 'EmmanuelPrévost']",,
148,Dogwood Tree,,,,,,,,
149,Leap Year,,57,,['Comedy'],['JamesCruze'],,,
150,Potiche,83,61,R,['Comedy'],['FrançoisOzon'],"['ÉricAltmayer', 'NicolasAltmayer']","['Mar 25', '2011']",1.6M
151,You Again,19,43,PG,"['Comedy', 'Romance']",['AndyFickman'],"['JohnJ.Strauss', 'EricTannenbaum', 'AndyFickman']","['Sep 24', '2010']",25.7M
152,Rajneeti,22,65,,['Drama'],['PrakashJha'],"['RonnieScrewvala', 'PrakashJha']","['Jun 4', '2010']",1.4M
153,The Losers,48,54,PG-13,"['Adventure', 'Action']",['SylvainWhite'],"['JoelSilver', 'AkivaGoldsman', 'KerryFoster']","['Apr 23', '2010']",23.6M
154,The Santa Claus Gang,,,,,,,,
155,Sacrifice,,,,,,,,
156,The Lady Shogun and Her Men,,45,,"['Drama', 'History']",['FuminoriKaneko'],,,
157,Legend of the Fist: The Return of Chen Zhen,47,53,R,"['Drama', 'Action']",['AndrewLauWai-Keung'],"['GordonChan', 'AndrewLauWai-Keung']","['Apr 22', '2011']",48.4K
158,Ramona and Beezus,70,71,G,"['Kids&family', 'Comedy', 'Adventure']",['ElizabethAllenRosenbaum'],"['DeniseDiNovi', 'AlisonGreenspan']","['Jul 23', '2010']",26.2M
159,Splice 2010 Re-release,,,,,,,,
160,Let Me In,88,76,R,['Horror'],['MattReeves'],"['DonnaGigliotti', 'AlexanderYvesBrunner', 'SimonOakes', 'TobinArmbrust', 'GuyEast', 'JohnNordling', 'CarlMolinder']","['Oct 1', '2010']",12.1M
161,Fair Game,79,65,PG-13,"['Drama', 'Mystery&thriller']",['DougLiman'],"['BillPohlad', 'JanetZucker', 'JerryZucker', 'AkivaGoldsman', 'DougLiman', 'JezButterworth']","['Nov 19', '2010']",9.5M
162,The Roundup,,,,['Western'],['RayTaylor'],['OliverDrake'],,
163,Christmas in South Africa,,,,,,,,
164,Biutiful,66,74,R,"['Drama', 'Romance']",['AlejandroGonzálezIñárritu'],"['AlejandroGonzálezIñárritu', 'FernandoBovaira', 'JonKilik']","['Jan 28', '2011']",5.1M
165,Six Degrees of Celebration,,,,,,,,
166,Elle s'appelait Sarah,,,,,,,,
167,Lottery Ticket,34,44,PG-13,['Comedy'],['ErikWhite'],"['AndrewA.Kosove', 'BroderickJohnson', 'MattAlvarez', 'MarkBurg', 'OrenKoules']","['Aug 20', '2010']",24.7M
168,Liar Game: The Final Stage,,,,,,,,
169,The Way Back,,,,,,,,
170,Nasha Russia. Yaytsa sudby,,,,,,,,
171,Da Xiao Jiang Hu,,,,,,,,
172,Act of Vengeance,,57,,['Drama'],['JohnMackenzie'],,,
173,Under the Hawthorn Tree,,76,,"['Drama', 'Romance']",['YimouZhang'],"['WilliamKong', 'HugoShong', 'WeipingZhang', 'HyuaiCao']",,
174,Recep Ivedik 3,,32,,['Comedy'],['ToganGökbakar'],"['FarukAksoy', 'MehmetSoyarslan']",,
175,Villain,71,,R,"['Action', 'Mystery&thriller']",['PhilipBarantini'],['BartRuspoli'],"['May 22', '2020']",
176,A Thousand Words,0,47,PG-13,['Comedy'],['BrianRobbins'],"['AlainChabat', 'StephanieDanan', 'NicolasCage', 'NormanGolightly', 'BrianRobbins', 'SharlaSumpterBridge']","['Mar 9', '2012']",18.4M
177,"Me, Them and Lara",,,,['Comedy'],['CarloVerdone'],,,
178,Moss,75,89,,"['Romance', 'Adventure']",['DanielPeddle'],"['DanielPeddle', 'JohnSolomon']","['Jul 6', '2018']",
179,22 Bullets,46,55,,"['Crime', 'Drama']",['RichardBerry'],"['LucBesson', 'Pierre-AngeLePogam']",,
180,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,,,,,,,,
181,Just Wright,46,61,PG,"['Comedy', 'Romance']",['SanaaHamri'],"['DebraMartinChase', 'ShakimCompere', 'QueenLatifah']","['May 14', '2010']",21.5M
182,My Soul to Take,10,26,R,"['Horror', 'Mystery&thriller']",['WesCraven'],"['WesCraven', 'IyaLabunka', 'AnthonyKatagas']","['Oct 8', '2010']",14.6M
183,Our Family Wedding,15,48,PG-13,"['Comedy', 'Romance']",['RickFamuyiwa'],"['EdwardSaxon', 'StevenJ.Wolfe']","['Mar 12', '2010']",20.2M
184,Astral City: A Spiritual Journey,,67,,['Drama'],['WagnerdeAssis'],,,
185,71: Into the Fire,,90,,"['Drama', 'War', 'Action']",['LeeJae-han'],,,
186,The Spy Next Door 2010 Re-release,,,,,,,,
187,Country Strong,22,53,PG-13,"['Drama', 'Romance']",['ShanaFeste'],"['JennoTopping', 'TobeyMaguire']","['Jan 7', '2011']",20.2M
188,Beck,95,88,,"['Drama', 'Lgbtq+', 'Music']","['ElizabethRohrbaugh', 'DanielPowell']","['AlexBach', 'ElizabethRohrbaugh', 'DanielPowell']","['Feb 9', '2018']",
189,How Not to Rescue a Princess,,,,,,,,
190,About Her Brother,,,,,,,,
191,Trick the Movie: Psychic Battle Royale,,,,,,,,
192,Hello Ghost,,,,,,,,
193,Another Year,92,74,PG-13,"['Drama', 'Comedy']",['MikeLeigh'],['GeorginaLowe'],"['Dec 29', '2010']",3.2M
194,Youth in Revolt,66,52,R,"['Comedy', 'Romance']",['MiguelArteta'],['DavidPermut'],"['Jan 8', '2010']",15.3M
195,Hot Summer Days,50,52,PG,"['Comedy', 'Romance']","['TonyChan', 'WingShya']",,,
196,Buried,87,65,R,"['Drama', 'Mystery&thriller']",['RodrigoCortés'],"['AdriánGuerra', 'PeterSafran']","['Oct 8', '2010']",1.0M
197,The Servant,89,89,,['Drama'],['JosephLosey'],,"['Mar 16', '1964']",37.3K
198,Norwegian Wood,74,49,,"['Drama', 'Romance']",['TranAnhHung'],['ShinjiOgawa'],"['Jan 6', '2012']",
199,Head Over Heels,,82,,"['Animation', 'Comedy']",['TimothyReckart'],"[""FodhlaCroninO'Reilly""]",,
