,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
72,Truth or Dare,"95,330,493","41,411,015",43.4,"53,919,478",56.6,,25.0,,NickSimon,"LisaRiley,LisaM.Hansen",,,5.2,54132,movie,Truth or Dare,0,2018,100,"Horror,Thriller"
73,Kill Mobile,"94,870,905",-,-,"94,870,905",100,,,,MiaoYu,,,,5.6,341,movie,Lai dian kuang xiang,0,2018,90,Drama
74,I Feel Pretty,"94,539,426","48,795,601",51.6,"45,743,825",48.4,35.0,35.0,PG-13,"AbbyKohn,MarcSilverstein","AlissaPhillips,DominicRustam,NicolasChartier,AmySchumer,MaryViola,McG",4-20-2018,48800000.0,5.6,53052,movie,I Feel Pretty,0,2018,110,"Comedy,Romance"
75,Blockers,"94,017,294","60,311,495",64.1,"33,705,799",35.9,84.0,51.0,R,KayCannon,"EvanGoldberg,SethRogen,JamesWeaver,JonHurwitz,HaydenSchlossberg,ChrisFenton",4-6-2018,59800000.0,6.2,78062,movie,Blockers,0,2018,102,Comedy
76,BlacKkKlansman,"93,400,823","49,275,340",52.8,"44,125,483",47.2,96.0,83.0,R,SpikeLee,"SeanMcKittrick,RaymondMansfield,JasonBlum,JordanPeele,SpikeLee,ShaunRedick",8-10-2018,48600000.0,7.5,253916,movie,BlacKkKlansman,0,2018,135,"Biography,Comedy,Crime"
77,Goosebumps 2: Haunted Halloween,"93,320,380","46,700,633",50,"46,619,747",50,47.0,36.0,PG,AriSandel,"DeborahA.Forte,NealH.Moritz",10-12-2018,46700000.0,5.6,20528,movie,Goosebumps 2: Haunted Halloween,0,2018,90,"Adventure,Comedy,Fantasy"
78,Shadow,"91,708,374","521,396",0.6,"91,186,978",99.4,97.0,89.0,PG,RichardAttenborough,"RichardAttenborough,BrianEastman",1-14-1994,25000000.0,7.0,15251,movie,Ying,0,2018,116,"Action,Adventure,Drama"
79,Overboard,"91,244,913","50,316,123",55.1,"40,928,790",44.9,23.0,54.0,PG-13,RobGreenberg,"EugenioDerbez,BenOdell,BobFisher",5-4-2018,50200000.0,6.0,37817,movie,Overboard,0,2018,112,"Comedy,Romance"
80,Sherlock Gnomes,"90,497,778","43,242,871",47.8,"47,254,907",52.2,27.0,36.0,PG,JohnStevenson,"SteveHamiltonShaw,DavidFurnish,CarolynSoper",3-23-2018,43100000.0,5.2,12063,movie,Sherlock Gnomes,0,2018,86,"Adventure,Animation,Comedy"
81,Detective Dee: The Four Heavenly Kings,"90,040,771","262,963",0.3,"89,777,808",99.7,60.0,70.0,,HarkTsui,HarkTsui,7-27-2018,132.0K,6.3,2679,movie,Di Renjie zhi Sidatianwang,0,2018,132,"Action,Adventure,Drama"
82,"Hello, Mrs. Money","86,874,070",-,-,"86,874,070",100,,,,YuhanWu,,10-5-2018,,4.7,289,movie,Li Cha de gu ma,0,2018,113,Comedy
83,Robin Hood,"86,489,031","30,824,628",35.6,"55,664,403",64.4,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,5.3,71899,movie,Robin Hood,0,2018,116,"Action,Adventure,Drama"
84,Robin Hood,"86,489,031","30,824,628",35.6,"55,664,403",64.4,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,7.6,5,movie,Robin Hood,0,2018,\N,\N
85,I Can Only Imagine,"86,086,881","83,482,352",97,"2,604,529",3,67.0,91.0,PG,"AndrewErwin,JonErwin","KevinDownes,CindyBond,DarylLefever,MickeyLiddell,PeteShilaimon",3-16-2018,83500000.0,7.3,15979,movie,I Can Only Imagine,0,2018,110,"Biography,Drama,Family"
86,Hidden Man,"85,170,581",-,-,"85,170,581",100,67.0,67.0,,WenJiang,,,,6.3,2081,movie,Xie bu ya zheng,0,2018,137,"Action,Crime,Drama"
87,Mortal Engines,"83,672,673","15,951,040",19.1,"67,721,633",80.9,26.0,48.0,PG-13,ChristianRivers,"ZaneWeiner,AmandaWalker,DeborahA.Forte,FranWalsh,PeterJackson",12-14-2018,15900000.0,6.1,122378,movie,Mortal Engines,0,2018,128,"Action,Adventure,Fantasy"
88,iPartment the Movie,"81,096,321",-,-,"81,096,321",100,,,,,,,,2.8,130,movie,Ai qing gong yu,0,2018,117,"Adventure,Comedy,Fantasy"
89,Doraemon the Movie: Nobita's Treasure Island,"80,920,916",-,-,"80,920,916",100,,,,,,,,6.8,757,movie,Doraemon Nobita no Takarajima,0,2018,108,"Adventure,Animation,Comedy"
90,Den of Thieves,"80,509,622","44,947,622",55.8,"35,562,000",44.2,42.0,62.0,R,ChristianGudegast,"MarkCanton,TuckerTooley,GerardButler,AlanSiegel",1-19-2018,44900000.0,7.0,106790,movie,Den of Thieves,0,2018,140,"Action,Crime,Drama"
91,Hereditary,"80,200,936","44,069,456",54.9,"36,131,480",45.1,89.0,68.0,R,AriAster,"KevinScottFrakes,LarsKnudsen,BuddyPatrick",6-8-2018,44100000.0,7.3,288300,movie,Hereditary,0,2018,127,"Drama,Horror,Mystery"
92,Code Blue: The Movie,"78,778,562",-,-,"78,778,562",100,,,,,,,,7.2,1271,movie,Code Blue: The Movie,0,2018,127,Drama
93,Tag,"78,130,625","54,730,625",70.1,"23,400,000",29.9,56.0,56.0,R,JeffTomsic,"ToddGarner,MarkSteilen",6-15-2018,54500000.0,6.5,129479,movie,Tag,0,2018,100,"Action,Comedy"
94,Sanju,"76,693,052","7,909,317",10.3,"68,783,735",89.7,44.0,78.0,,RajkumarHirani,"VinodChopra,RajkumarHirani",6-29-2018,7800000.0,7.8,52752,movie,Sanju,0,2018,155,"Biography,Comedy,Drama"
95,Vice,"76,073,488","47,836,282",62.9,"28,237,206",37.1,65.0,60.0,R,AdamMcKay,"MeganEllison,BradPitt,DedeGardner,JeremyKleiner,AdamMcKay,WillFerrell,KevinJ.Messick",12-25-2018,47800000.0,7.2,140775,movie,Vice,0,2018,132,"Biography,Comedy,Drama"
96,Widows,"75,984,700","42,402,632",55.8,"33,582,068",44.2,91.0,61.0,R,SteveMcQueen,"IainCanning,EmileSherman,SteveMcQueen,ArnonMilchan",11-16-2018,42400000.0,6.9,95493,movie,Widows,0,2018,129,"Crime,Drama,Thriller"
97,Sicario: Day of the Soldado,"75,837,743","50,072,235",66,"25,765,508",34,62.0,65.0,R,StefanoSollima,"BasilIwanyk,EdwardL.McDonnell,MollySmith,ThadLuckinbill,TrentLuckinbill",6-29-2018,50100000.0,7.1,142381,movie,Sicario: Day of the Soldado,0,2018,122,"Action,Adventure,Crime"
98,Searching,"75,462,037","26,020,957",34.5,"49,441,080",65.5,91.0,87.0,PG-13,AneeshChaganty,"TimurBekmambetov,SevOhanian,AdamSidman,NatalieQasabian",8-31-2018,26000000.0,7.6,158290,movie,Searching,0,2018,102,"Drama,Mystery,Thriller"
99,The Spy Who Dumped Me,"75,320,680","33,562,069",44.6,"41,758,611",55.4,49.0,56.0,R,SusannaFogel,"BrianGrazer,EricaHuggins",8-3-2018,33500000.0,6.0,76084,movie,The Spy Who Dumped Me,0,2018,117,"Action,Adventure,Comedy"
100,Animal World,"74,922,830",-,-,"74,922,830",100,69.0,77.0,,YanHan,,,,6.5,4379,movie,Dong wu shi jie,0,2018,132,"Action,Fantasy,Sci-Fi"
101,Animal World,"74,922,830",-,-,"74,922,830",100,69.0,77.0,,YanHan,,,,6.9,14,movie,Animal World,0,2018,132,"Comedy,Drama"
