,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
145,Pokémon the Movie: I Choose You!,"37,552,144","2,401,722",6.4,"35,150,422",93.6,33.0,62.0,,KunihikoYuyama,"SusumuMatsuyama,SatoshiShimohira,AtsushiChiku,HidenagaKatakami",,,6.3,6745,movie,Pokémon the Movie: I Choose You,0,2017,98,"Action,Adventure,Animation"
146,Home Again,"37,270,721","27,020,284",72.5,"10,250,437",27.5,32.0,44.0,PG-13,HallieMeyers-Shyer,"NancyMeyers,ErikaOlde",9-8-2017,27000000.0,5.8,31665,movie,Home Again,0,2017,97,"Comedy,Drama,Romance"
147,The Adventurers,"36,796,816","216,556",0.6,"36,580,260",99.4,74.0,74.0,PG,StevenSpielberg,"StevenSpielberg,KathleenKennedy,PeterJackson",12-21-2011,77600000.0,5.6,3031,movie,Xia dao lian meng,0,2017,140,"Action,Adventure,Crime"
148,"Tad, the Lost Explorer, and the Secret of King Midas","35,704,046","5,874",<0.1,"35,698,172",100,29.0,45.0,PG,"DavidAlonso,EnriqueGato","GabrielArias-Salgado,ÁlvaroAugustin,GhislainBarrois,JordiGasull",,,6.2,3304,movie,Tadeo Jones 2: El secreto del Rey Midas,0,2017,85,"Adventure,Animation,Comedy"
149,Hostiles,"35,669,017","29,819,114",83.6,"5,849,903",16.4,70.0,75.0,R,ScottCooper,"ScottCooper,JohnLesher,KenKao",1-26-2018,29800000.0,7.2,82091,movie,Hostiles,0,2017,134,"Drama,Western"
150,Namiya,"35,351,623","70,814",0.2,"35,280,809",99.8,,60.0,,JieHan,BarbieTung,1-5-2018,40.0K,5.0,517,movie,Jie you za huo dian,0,2017,116,"Drama,Family,Fantasy"
151,Destiny: The Tale of Kamakura,"35,166,640",-,-,"35,166,640",100,100.0,81.0,,TakashiYamazaki,,,,6.7,1255,movie,Destiny: Kamakura monogatari,0,2017,129,"Crime,Drama,Fantasy"
152,The Liquidator,"35,046,130",-,-,"35,046,130",100,,,,,,,,5.6,323,movie,Xin li zui: Cheng shi zhi guang,0,2017,124,Crime
153,Kidnap,"34,814,102","30,971,040",89,"3,843,062",11,35.0,50.0,R,LuisPrieto,"LorenzodiBonaventura,ErikHowsam,JoeyTufaro,GregoryChou,HalleBerry,ElaineGoldsmith-Thomas",8-4-2017,30700000.0,5.9,36592,movie,Kidnap,0,2017,95,"Action,Crime,Drama"
154,The House,"34,184,504","25,584,504",74.8,"8,600,000",25.2,35.0,73.0,PG,AlejandroAgresti,"RoyLee,DougDavison",6-16-2006,52300000.0,5.6,43546,movie,The House,0,2017,88,"Comedy,Crime"
155,Perfect Strangers,"33,262,366","1,014,507",3.1,"32,247,859",96.9,,83.0,,AlexdelaIglesia,,,,6.9,13728,movie,Perfectos desconocidos,0,2017,97,"Comedy,Drama"
156,Sleepless,"32,917,353","20,783,704",63.1,"12,133,649",36.9,,,,,,,,5.6,32015,movie,Sleepless,0,2017,95,"Action,Crime,Thriller"
157,Hindi Medium,"32,841,493",-,-,"32,841,493",100,82.0,78.0,,SaketChaudhary,"BhushanKumar,DineshVijan",,,7.9,27753,movie,Hindi Medium,0,2017,132,"Comedy,Drama"
158,Steel Rain,"32,783,733",-,-,"32,783,733",100,,78.0,,YangWoo-suk,"KimTae-won,ParkJoon-ho",,,7.1,5457,movie,Gangcheolbi,0,2017,139,"Action,Drama,Thriller"
159,The House That Never Dies II,"32,433,588",-,-,"32,433,588",100,,,,,,,,4.9,88,movie,Jing Cheng 81 hao 2,0,2017,97,"Horror,Thriller"
160,This Is Not What I Expected,"30,996,615","337,670",1.1,"30,658,945",98.9,78.0,87.0,,DerekHui,PeterHo-SunChan,5-5-2017,306.8K,6.7,1582,movie,Xi huan ni,0,2017,106,"Comedy,Drama,Romance"
161,The Last Warrior,"30,618,274",-,-,"30,618,274",100,,19.0,PG-13,SheldonLettich,"HananKotzky,JacobKotzky",,,6.5,2867,movie,Posledniy bogatyr,0,2017,114,"Action,Adventure,Comedy"
162,The Bye Bye Man,"29,874,280","22,395,806",75,"7,478,474",25,18.0,22.0,PG-13,StacyTitle,"TrevorMacy,JeffreySoros,SimonHorsman",1-13-2017,22400000.0,4.3,23625,movie,The Bye Bye Man,0,2017,96,"Drama,Fantasy,Horror"
163,The Disaster Artist,"29,820,616","21,120,616",70.8,"8,700,000",29.2,91.0,85.0,R,JamesFranco,"JamesFranco,EvanGoldberg,VinceJolivette,SethRogen,JamesWeaver",12-8-2017,21100000.0,7.3,149910,movie,The Disaster Artist,0,2017,104,"Biography,Comedy,Drama"
