Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Never Say Die,2500,1929,361,210,80.36465638
Midnight Runners,2500,1370,978,152,80.02628121
"Me, Myself and Mum",20,9,10,1,80
Somewhere Winter,139,71,60,8,79.74683544
Tiny Times 3.0,304,122,168,14,79.41176471
Cold Eyes,2500,1403,935,162,79.2971246
Andhadhun,2500,1720,579,201,79.07339927
Bayside Shakedown the Final,32,17,13,2,78.94736842
The Swindlers,880,507,313,60,78.83597884
Hindi Medium,2500,1339,997,164,78.17697937
The Secret Life of Walter Mitty,2500,1267,1075,158,77.8245614
Detective Conan: Zero the Enforcer,46,8,37,1,77.77777778
Super Sharanya,431,232,169,30,77.09923664
To the Fore,2500,803,1591,106,76.67766777
Detective Conan: Quarter of Silence,102,22,77,3,76
Hichki,2500,1383,924,193,75.50761421
