,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
140,140,140,The Four,30505808,-,-,30505808,100,,,,,,,,5.8,2305,movie,Si da ming bu,0,2012,118,"Action,Crime,Fantasy"
141,141,141,The Four,30505808,-,-,30505808,100,,,,,,,,3.9,57,movie,The Four,0,2012,85,"Action,Horror,Thriller"
142,142,142,The Grand Heist,30158762,-,-,30158762,100,,,,,,,,6.3,807,movie,Baramgwa hamjje sarajida,0,2012,121,"Action,Comedy,History"
143,143,143,The Raven,29699345,16008272,53.9,13691073,46.1,22.0,46.0,R,JamesMcTeigue,"AaronRyder,MarkD.Evans,TrevorMacy",4-27-2012,16000000.0,6.4,84650,movie,The Raven,0,2012,110,"Crime,Mystery,Thriller"
144,144,144,Amour,29652180,6739492,22.7,22912688,77.3,93.0,82.0,PG-13,MichaelHaneke,"MargaretMénégoz,StefanArndt,VeitHeideuschka,MichaelKatz",12-19-2012,3700000.0,7.9,98678,movie,Amour,0,2012,127,Drama
145,145,145,All About My Wife,29382038,-,-,29382038,100,,65.0,,MinKyu-dong,,,,6.6,1493,movie,Nae anaeui modeun geot,0,2012,121,"Comedy,Drama,Romance"
146,146,146,Rowdy Rathore,29342463,777373,2.6,28565090,97.4,50.0,55.0,,PrabhuDeva,"RonnieScrewvala,SanjayLeelaBhansali",6-1-2012,776.0K,5.9,22272,movie,Rowdy Rathore,0,2012,140,"Action,Comedy,Crime"
147,147,147,SPEC: Heaven,29023960,-,-,29023960,100,,,,,,,,5.9,310,movie,Gekijouban SPEC: Ten,0,2012,119,Drama
148,148,148,We Were There: True Love,28876929,-,-,28876929,100,,,,,,,,7.0,506,movie,Bokura ga ita: Kouhen,0,2012,121,"Drama,Romance"
149,149,149,Bol Bachchan,28775262,1216258,4.2,27559004,95.8,71.0,51.0,PG,RohitShetty,"AjayDevgan,DhillinMehta",7-6-2012,1200000.0,5.6,8921,movie,Bol Bachchan,0,2012,155,"Action,Comedy"
