,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
31,Daddy's Home,Will Ferrell,13.839,Mark Wahlberg,49.465,Linda Cardellini,17.794,Thomas Haden Church,11.267,Scarlett Estevez,17.808,31,242786137,150357137,61.9,92429000,38.1,30.0,49.0,PG-13,SeanAnders,"WillFerrell,AdamMcKay,ChrisHenchy,JohnMorris",12-25-2015,150300000.0,6.1,117675,movie,Daddy's Home,0,2015,96,"Comedy,Family"
32,Spy,Melissa McCarthy,16.592,Jason Statham,69.651,Rose Byrne,23.36,Jude Law,24.842,Miranda Hart,6.801,32,235666219,110825712,47,124840507,53.0,95.0,78.0,R,PaulFeig,"PeterChernin,JennoTopping,PaulFeig,JessieHenderson",6-5-2015,,7.0,241475,movie,Spy,0,2015,120,"Action,Comedy"
33,Alvin and the Chipmunks: The Road Chip,Jason Lee,14.74,Justin Long,18.509,Bella Thorne,13.724,Matthew Gray Gubler,14.777,Jesse McCartney,9.311,33,234798636,85886987,36.6,148911649,63.4,15.0,51.0,PG,WaltBecker,"JaniceKarman,RossBagdasarianJr.",12-18-2015,85900000.0,5.0,19182,movie,Alvin and the Chipmunks: The Road Chip,0,2015,92,"Adventure,Animation,Comedy"
34,Goodbye Mr. Loser,Allen Ai Lun,5.557,Ma Li,1.565,Shen Teng,10.846,Yin Zheng,6.387,Chang Yuan,1.849,34,228122928,1293626,0.6,226829302,99.4,,80.0,,"Da-MoPeng,FeiYan",,10-9-2015,1300000.0,6.7,2779,movie,Xia Luo te fan nao,0,2015,104,Comedy
35,Ted 2,Mark Wahlberg,49.465,Seth MacFarlane,9.493,Amanda Seyfried,37.184,Morgan Freeman,23.816,Jessica Barth,11.396,35,215863606,81476385,37.7,134387221,62.3,44.0,50.0,R,SethMacFarlane,"ScottStuber,SethMacFarlane,JasonClark,JohnJacobs",6-26-2015,81300000.0,6.3,202247,movie,Ted 2,0,2015,115,Comedy
36,Tomorrowland,George Clooney,20.782,Hugh Laurie,13.418,Britt Robertson,23.536,Raffey Cassidy,17.097,Tim McGraw,11.318,36,209035668,93436322,44.7,115599346,55.3,50.0,49.0,PG,BradBird,"DamonLindelof,BradBird,JeffreyChernov",5-22-2015,93400000.0,6.4,180388,movie,Tomorrowland,0,2015,130,"Action,Adventure,Family"
37,Everest,Jason Clarke,23.125,Josh Brolin,39.186,Jake Gyllenhaal,21.848,John Hawkes,4.738,Sam Worthington,21.962,37,203427584,43482270,21.4,159945314,78.6,72.0,68.0,PG-13,BaltasarKormákur,"TimBevan,EricFellner,BaltasarKormákur,NickyKentishBarnes,BrianOliver,TylerThompson",9-25-2015,43200000.0,7.1,214035,movie,Everest,0,2015,121,"Action,Adventure,Biography"
38,Straight Outta Compton,O'Shea Jackson Jr.,3.87,Corey Hawkins,6.796,Jason Mitchell,6.259,Neil Brown Jr.,10.805,Aldis Hodge,10.583,38,201634991,161197785,79.9,40437206,20.1,89.0,91.0,R,F.GaryGray,"IceCube,TomicaWoods-Wright,MattAlvarez,F.GaryGray,ScottBernstein,Dr.Dre",8-14-2015,161000000.0,7.8,196169,movie,Straight Outta Compton,0,2015,147,"Biography,Drama,History"
39,The Intern,Robert De Niro,28.296,Anne Hathaway,36.931,Rene Russo,14.105,Anders Holm,7.627,JoJo Kushner,2.564,39,194564672,75764672,38.9,118800000,61.1,59.0,73.0,PG-13,NancyMeyers,"NancyMeyers,SuzanneFarwell",9-25-2015,75600000.0,7.1,245006,movie,The Intern,0,2015,121,"Comedy,Drama"
40,Jian Bing Man,Dong Chengpeng,8.089,Yuan Shanshan,2.557,Liu Yan,10.959,Sandra Ng Kwun-Yu,4.617,Eric Tsang,9.064,40,186683536,-,-,186683536,100.0,,55.0,,DaPeng,,,300.0K,5.6,1184,movie,Jian bing xia,0,2015,113,Comedy
41,Jupiter Ascending,Channing Tatum,22.942,Mila Kunis,20.107,Sean Bean,24.223,Eddie Redmayne,33.428,Douglas Booth,15.673,41,183887723,47387723,25.8,136500000,74.2,28.0,38.0,PG-13,"LillyWachowski,LanaWachowski","GrantHill,LillyWachowski,LanaWachowski",2-6-2015,47400000.0,5.3,186879,movie,Jupiter Ascending,0,2015,127,"Action,Adventure,Sci-Fi"
42,Creed,Michael B. Jordan,17.315,Sylvester Stallone,32.593,Tessa Thompson,9.288,Phylicia Rashād,6.543,Andre Ward,1.96,42,173567581,109767581,63.2,63800000,36.8,95.0,89.0,PG-13,RyanCoogler,"IrwinWinkler,RobertChartoff,CharlesWinkler,WilliamChartoff,DavidWinkler,KevinKingTempleton,SylvesterStallone",11-25-2015,109700000.0,7.6,265974,movie,Creed,0,2015,133,"Action,Drama,Sport"
43,Fantastic Four,Miles Teller,12.138,Michael B. Jordan,17.315,Kate Mara,18.864,Jamie Bell,19.222,Toby Kebbell,12.326,43,167882881,56117548,33.4,111765333,66.6,9.0,18.0,PG-13,JoshTrank,"SimonKinberg,MatthewVaughn,HutchParker,RobertKulzer,GregoryGoodman",8-7-2015,56000000.0,4.3,162784,movie,Fantastic Four,0,2015,100,"Action,Adventure,Sci-Fi"
44,Bridge of Spies,Tom Hanks,27.299,Mark Rylance,24.088,Amy Ryan,12.139,Alan Alda,5.956,Sebastian Koch,5.482,44,165478348,72313754,43.7,93164594,56.3,91.0,87.0,PG-13,StevenSpielberg,"StevenSpielberg,MarcPlatt,KristieMacoskoKrieger",10-16-2015,72300000.0,7.6,305481,movie,Bridge of Spies,0,2015,142,"Drama,History,Thriller"
45,From Vegas to Macau II,Chow Yun-Fat,13.342,Shawn Yue,6.16,Carina Lau,12.2,Nick Cheung,6.488,David Chiang,11.376,45,163877532,-,-,163877532,100.0,,,,,,,,4.6,1076,movie,Du cheng feng yun II,0,2015,109,"Action,Adventure,Comedy"
46,Focus,Will Smith,33.966,Margot Robbie,29.861,Rodrigo Santoro,21.957,Gerald McRaney,12.632,Adrian Martinez,6.818,46,158762963,53862963,33.9,104900000,66.1,,,,ChristopherYoung,,,,6.6,240378,movie,Focus,0,2015,105,"Comedy,Crime,Drama"
47,Goosebumps,Jack Black,23.771,Dylan Minnette,19.996,Odeya Rush,18.647,Amy Ryan,12.139,Ryan Lee,7.979,47,158260952,80080379,50.6,78180573,49.4,78.0,62.0,PG,RobLetterman,"DeborahA.Forte,NealH.Moritz",10-16-2015,80100000.0,6.3,87066,movie,Goosebumps,0,2015,103,"Adventure,Comedy,Fantasy"
48,Ip Man 3,Donnie Yen,16.207,Lynn Hung,1.905,Zhang Jin,10.693,Patrick Tam,2.793,Karena Ng,7.753,48,156954938,2679437,1.7,154275501,98.3,76.0,73.0,PG-13,WilsonYip,RaymondPak-MingWong,1-22-2016,2500000.0,7.0,54234,movie,Yip Man 3,0,2015,105,"Action,Biography,Drama"
49,The Hateful Eight,Samuel L. Jackson,56.705,Kurt Russell,18.08,Jennifer Jason Leigh,22.271,Walton Goggins,15.255,Demián Bichir,6.129,49,155760117,54117416,34.7,101642701,65.3,74.0,76.0,R,QuentinTarantino,"RichardN.Gladstein,StaceySher,ShannonMcIntosh",12-30-2015,54100000.0,7.8,574482,movie,The Hateful Eight,0,2015,168,"Crime,Drama,Mystery"
50,Monkey King: Hero Is Back,Zhang Lei,0.6,Lin Zijie,0.6,Tong Zirong,0.895,Liu Beichen,2.593,Zhou Shuai,0.672,50,153262397,-,-,153262397,100.0,,52.0,PG,TianXiaoPeng,"WeiLu,HuiLiang,NingLin,YonganXu,FengYi",7-29-2016,,6.8,4221,movie,Xi you ji zhi da sheng gui lai,0,2015,89,"Action,Adventure,Animation"
51,The Last Witch Hunter,Vin Diesel,29.696,Rose Leslie,17.039,Elijah Wood,14.181,Ólafur Darri Ólafsson,6.688,Rena Owen,5.062,51,146936910,27367660,18.6,119569250,81.4,18.0,43.0,PG-13,BreckEisner,"MarkCanton,VinDiesel,BernieGoldmann",10-23-2015,27400000.0,5.9,102509,movie,The Last Witch Hunter,0,2015,106,"Action,Adventure,Fantasy"
52,Trainwreck,Amy Schumer,4.455,Bill Hader,16.702,Brie Larson,26.14,Colin Quinn,5.426,John Cena,15.948,52,140795793,110212700,78.3,30583093,21.7,84.0,66.0,R,JuddApatow,"JuddApatow,BarryMendel",7-17-2015,,6.2,135722,movie,Trainwreck,0,2015,125,"Comedy,Drama,Romance"
53,Mr. Six,Feng Xiaogang,3.077,Zhang Hanyu,8.378,Xu Qing,8.666,Kris Wu,11.815,Li Yifeng,3.414,53,139191345,1415450,1,137775895,99.0,,,,,,,,6.9,3807,movie,Lao pao er,0,2015,134,"Action,Drama"
54,Point Break,Edgar Ramírez,6.615,Luke Bracey,18.742,Teresa Palmer,17.413,Ray Winstone,9.559,Max Thieriot,11.918,54,133718711,28782481,21.5,104936230,78.5,11.0,29.0,,EricsonCore,,,,5.3,62035,movie,Point Break,0,2015,114,"Action,Adventure,Crime"
55,The Big Short,Christian Bale,26.638,Steve Carell,18.584,Ryan Gosling,12.098,Brad Pitt,26.942,Melissa Leo,8.257,55,133440870,70259870,52.7,63181000,47.3,89.0,88.0,R,AdamMcKay,"BradPitt,DedeGardner,JeremyKleiner,ArnonMilchan",12-23-2015,70200000.0,7.8,412806,movie,The Big Short,0,2015,130,"Biography,Comedy,Drama"
56,Pan,Bobby Driscoll,2.357,Kathryn Beaumont,3.164,Hans Conried,4.111,Bill Thompson,4.419,Heather Angel,2.344,56,128388320,35088320,27.3,93300000,72.7,27.0,40.0,PG,JoeWright,"GregBerlanti,SarahSchechter,PaulWebster",10-9-2015,35100000.0,5.7,63396,movie,Pan,0,2015,111,"Adventure,Comedy,Family"
57,Detective Chinatown,Baoqiang Wang,6.389,Liu Haoran,8.529,Tong Liya,7.164,Chen He,7.261,Xiao Shenyang,2.725,57,125842935,474252,0.4,125368683,99.6,,73.0,,SichengChen,ZhiXiChen,1-15-2016,435.7K,6.6,2627,movie,Tang ren jie tan an,0,2015,136,"Action,Comedy,Mystery"
