,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
116,Overheard 3,"53,493,428",-,-,"53,493,428",100,,33.0,,"FelixChong,AlanMak","RonaldWong,Tung-ShingYee",,,6.0,1160,movie,Sit ting fung wan 3,0,2014,131,"Crime,Thriller"
117,Supercondriaque,"53,425,036",-,-,"53,425,036",100,,32.0,,DanyBoon,"EricHubert,PatrickQuinet,JérômeSeydoux",,,6.0,8567,movie,Supercondriaque,0,2014,107,Comedy
118,3 Days to Kill,"53,260,230","30,697,999",57.6,"22,562,231",42.4,28.0,43.0,PG-13,McG,"MarcLibert,RyanKavanaugh",2-21-2014,30700000.0,6.2,92538,movie,3 Days to Kill,0,2014,117,"Action,Drama,Thriller"
119,Rurouni Kenshin Part II: Kyoto Inferno,"52,696,176",-,-,"52,696,176",100,,,,,,,,7.5,16228,movie,Rurôni Kenshin: Kyôto taika-hen,0,2014,138,"Action,Adventure,Drama"
120,Wild,"52,501,541","37,880,356",72.2,"14,621,185",27.8,88.0,75.0,R,Jean-MarcVallée,"ReeseWitherspoon,BrunaPapandrea,BillPohlad",12-3-2014,37700000.0,7.1,127535,movie,Wild,0,2014,115,"Adventure,Biography,Drama"
121,Magic in the Moonlight,"51,029,361","10,539,326",20.7,"40,490,035",79.3,51.0,45.0,PG-13,WoodyAllen,"LettyAronson,StephenTenenbaum,EdwardWalson",7-25-2014,10500000.0,6.5,67331,movie,Magic in the Moonlight,0,2014,97,"Comedy,Drama,Romance"
122,About Last Night,"50,445,860","48,637,684",96.4,"1,808,176",3.6,,,,TonyDiMarco,,,,6.1,23860,movie,About Last Night,0,2014,100,"Comedy,Romance"
123,Whiplash,"48,982,041","13,092,000",26.7,"35,890,041",73.3,94.0,94.0,R,DamienChazelle,"HelenEstabrook,JasonBlum,MichelLitvak,DavidLancaster",10-10-2014,13200000.0,8.5,801283,movie,Whiplash,0,2014,106,"Drama,Music"
124,Chef,"48,428,048","31,424,003",64.9,"17,004,045",35.1,45.0,50.0,,RajaKrishnaMenon,,,53.6K,7.3,211233,movie,Chef,0,2014,114,"Adventure,Comedy,Drama"
125,Boyhood,"48,137,666","25,352,281",52.7,"22,785,385",47.3,97.0,80.0,R,RichardLinklater,"RichardLinklater,CathleenSutherland",7-18-2014,25400000.0,7.9,349700,movie,Boyhood,0,2014,165,Drama
126,Coming Home,"47,587,984","377,607",0.8,"47,210,377",99.2,,,,W.LayneMcdonald,,,,6.9,19,movie,Coming Home,0,2014,86,"Documentary,Drama"
127,Coming Home,"47,587,984","377,607",0.8,"47,210,377",99.2,,,,W.LayneMcdonald,,,,7.2,6042,movie,Gui lai,0,2014,109,"Drama,Romance"
128,Beauty and the Beast,"47,430,624",-,-,"47,430,624",100,71.0,80.0,PG,BillCondon,"DavidHoberman,ToddLieberman",3-17-2017,504000000.0,6.4,20810,movie,La belle et la bête,0,2014,112,"Drama,Family,Fantasy"
129,Nightcrawler,"47,398,992","32,381,217",68.3,"15,017,775",31.7,95.0,86.0,R,DanGilroy,"MichelLitvak,JakeGyllenhaal,DavidLancaster,JenniferFox,TonyGilroy",10-31-2014,32400000.0,7.9,518638,movie,Nightcrawler,0,2014,117,"Crime,Drama,Thriller"
130,Earth to Echo,"45,681,062","38,934,842",85.2,"6,746,220",14.8,50.0,47.0,PG,DaveGreen,"RyanKavanaugh,AndrewPanay",7-2-2014,38900000.0,5.7,18961,movie,Earth to Echo,0,2014,91,"Adventure,Family,Sci-Fi"
131,That Awkward Moment,"45,640,143","26,068,955",57.1,"19,571,188",42.9,22.0,46.0,R,TomGormican,"JustinNappi,AndrewO'Connor,ScottAversano,KevinTuren",1-31-2014,26000000.0,6.1,102037,movie,That Awkward Moment,0,2014,94,"Comedy,Romance"
132,Love on the Cloud,"45,386,560","271,734",0.6,"45,114,826",99.4,,69.0,,ChangweiGu,,,,4.1,181,movie,Wei ai zhi jian ru jia jing,0,2014,135,Comedy
133,The Great Hypnotist,"44,077,818",-,-,"44,077,818",100,,,,,,,,6.9,2715,movie,Cui mian da shi,0,2014,104,"Drama,Mystery,Thriller"
134,Kick,"43,996,483","2,472,695",5.6,"41,523,788",94.4,46.0,50.0,,SajidNadiadwala,SajidNadiadwala,7-25-2014,2500000.0,5.4,28856,movie,Kick,0,2014,146,"Action,Comedy,Crime"
135,Asterix and Obelix: Mansion of the Gods,"42,830,578",-,-,"42,830,578",100,71.0,63.0,,"LouisClichy,AlexandreAstier","ThomasValentin,PhilippeBony,JanGoossen",,,6.9,13411,movie,Astérix: Le domaine des dieux,0,2014,85,"Adventure,Animation,Comedy"
136,Thermae Romae II,"42,473,163",-,-,"42,473,163",100,,40.0,,HidekiTakeuchi,,,,6.1,722,movie,Terumae romae II,0,2014,112,Comedy
137,Bang Bang,"42,045,981","2,546,172",6.1,"39,499,809",93.9,14.0,53.0,,SiddharthAnand,PrashantShah,10-2-2014,2500000.0,5.6,23532,movie,Bang Bang,0,2014,153,"Action,Adventure,Comedy"
138,Detective Conan: The Sniper from Another Dimension,"42,028,116",-,-,"42,028,116",100,,70.0,,KobunShizuno,MichihikoSuwa,,,6.8,1262,movie,Meitantei Conan: Ijigen no sunaipâ,0,2014,110,"Action,Adventure,Animation"
139,Rurouni Kenshin: The Legend Ends,"41,900,000",-,-,"41,900,000",100,,80.0,,KeishiOhtomo,SatoshiFukushima,,,7.5,12653,movie,Rurôni Kenshin: Densetsu no saigo-hen,0,2014,134,"Action,Adventure,Drama"
140,"As Above, So Below","41,898,409","21,321,100",50.9,"20,577,309",49.1,26.0,40.0,R,JohnErickDowdle,"ThomasTull,JonJashni,DrewDowdle,PatrickAiello",8-29-2014,21200000.0,6.2,89357,movie,"As Above, So Below",0,2014,93,"Horror,Mystery,Thriller"
141,This Is Where I Leave You,"41,296,320","34,296,320",83,"7,000,000",17,44.0,59.0,R,ShawnLevy,"PaulaWeinstein,ShawnLevy,JeffLevine",9-19-2014,34300000.0,6.6,78959,movie,This Is Where I Leave You,0,2014,103,"Comedy,Drama"
142,Boonie Bears: To the Rescue,"40,163,675",-,-,"40,163,675",100,,,,"LeonDing,FuyuanLiu","MingLi,FuyuanLiu",,,4.7,230,movie,"Boonie Bears, to the Rescue!",0,2014,95,"Action,Adventure,Animation"
143,The November Man,"39,661,919","25,018,119",63.1,"14,643,800",36.9,36.0,46.0,R,RogerDonaldson,"BeauSt.Clair,SriramDas",8-27-2014,25000000.0,6.3,67306,movie,The November Man,0,2014,108,"Action,Thriller"
