,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic
120,Kokkuri-san: Gekijô-ban,0,0.6,4.1,12,\N,Horror,,,,0,,,15.264,15.264,0.756,37982240,
121,For Colored Girls,0,6.411,6.1,7697,134,Drama,32.0,73.0,R,11/5/2010,85.0,35.75,6.343,0.998,11.6394,37981984,37729698.0
122,Detective Conan: The Lost Ship in the Sky,0,11.09,7.0,1616,103,"Action,Adventure,Animation",,,,0,,,15.264,15.264,8.169799999999999,36407407,
123,Secret Reunion,0,8.053,6.9,3947,117,"Action,Drama,Thriller",,,,0,,,15.264,15.264,9.2634,36298578,
124,Furry Vengeance,35000000,12.038,3.8,16877,92,"Comedy,Family",7.0,32.0,PG,4/30/2010,128.0,47.75,3.912,3.8445,12.1372,36288132,17630465.0
125,You Will Meet a Tall Dark Stranger,22000000,9.379,6.3,45441,98,"Comedy,Drama,Romance",46.0,34.0,R,9/22/2010,181.0,63.25,13.842,1.268666667,20.581,35867322,3248246.0
126,Faster,24000000,28.517,6.4,106300,98,"Action,Crime,Drama",42.0,52.0,R,11/24/2010,115.0,85.75,7.574,1.17575,21.0736,35626958,23240020.0
127,The Kids Are All Right,3500000,12.233,7.1,129626,106,"Comedy,Drama,Romance",92.0,74.0,R,7/9/2010,121.0,67.0,2.287,1.1932,15.1722,34705850,20811365.0
128,The Extraordinary Adventures of Adèle Blanc-Sec,25000000,20.506,6.3,21037,107,"Action,Adventure,Comedy",85.0,54.0,PG,0,,,8.055,2.169,6.327999999999999,34604339,
129,Camping 2,28612179,9.041,4.3,1331,99,Comedy,,13.0,,0,,,1.306,15.264,3.8028,33857735,
130,Arthur 3: The War of the Two Worlds,70200000,22.07,5.5,9046,101,"Adventure,Animation,Family",20.0,42.0,PG,0,,,8.055,4.6805,12.472999999999999,33519334,
131,Leap Year,19000000,52.553,6.4,102605,100,"Comedy,Romance",,57.0,,1/8/2010,107.0,61.125,3.851,15.264,11.6964,32686500,25918920.0
132,Potiche,0,8.778,6.4,10780,103,Comedy,83.0,61.0,R,3/25/2011,,62.625,5.03,2.947,8.4722,32309881,
133,You Again,20000000,26.142,5.7,51643,105,"Comedy,Romance",19.0,43.0,PG,9/24/2010,108.0,62.25,3.44,2.132666667,15.944400000000002,32054369,25702053.0
134,The Losers,25000000,73.681,6.3,99714,97,"Action,Adventure,Crime",48.0,54.0,PG-13,4/23/2010,114.0,37.25,8.719,3.249,18.1324,29397654,23591432.0
135,Sacrifice,0,25.338,4.6,916,87,"Horror,Mystery,Thriller",,,,0,,,15.264,15.264,3.3068000000000004,29093560,
136,The Lady Shogun and Her Men,12800000,2.012,6.3,379,116,"Drama,Sci-Fi",,45.0,,0,,,1.364,15.264,6.5346,27769952,
137,Legend of the Fist: The Return of Chen Zhen,0,11.903,6.2,10419,106,"Action,Drama,History",47.0,53.0,R,4/22/2011,,46.5,4.418,3.6085,13.2466,27390678,
138,Ramona and Beezus,15000000,15.408,6.6,18620,104,"Comedy,Drama,Family",70.0,71.0,G,7/23/2010,106.0,43.875,3.401,3.799,18.5386,27293743,26167002.0
139,Let Me In,20000000,29.146,7.1,119883,116,"Drama,Fantasy,Horror",88.0,76.0,R,10/1/2010,135.0,47.5,20.631,1.785142857,21.465799999999998,27093592,12134935.0
140,Biutiful,0,9.46,7.4,89827,148,"Drama,Romance",66.0,74.0,R,1/28/2011,166.0,55.5,5.773,3.058,6.135,25147786,5101237.0
141,Elle s'appelait Sarah,10000000,14.119,7.5,17062,111,"Drama,War",,,,7/22/2011,158.0,12.5,15.264,15.264,5.414,24792815,7693187.0
142,Lottery Ticket,0,13.419,5.0,10995,99,Comedy,34.0,44.0,PG-13,8/20/2010,111.0,43.125,1.4,1.8098,6.621,24719879,24719879.0
143,Liar Game: The Final Stage,0,4.788,7.1,1197,133,"Drama,Thriller",,,,0,,,15.264,15.264,6.862,24658706,
144,The Way Back,0,19.554,6.7,43833,108,"Drama,Sport",,,,1/21/2011,190.0,68.25,15.264,15.264,9.3328,24172201,2701859.0
145,Da Xiao Jiang Hu,10000000,2.147,4.0,324,119,"Action,Comedy",,,,0,,,15.264,15.264,4.2894,23705022,
146,Act of Vengeance,0,3.98,5.5,881,90,"Crime,Drama,Horror",,57.0,,0,,,1.952,15.264,4.1186,23423390,
147,Under the Hawthorn Tree,0,7.499,7.1,3177,114,"Drama,Romance",,76.0,,0,,,9.165,1.460333333,4.517799999999999,23004431,
148,Recep Ivedik 3,0,6.24,4.0,18993,95,Comedy,,32.0,,0,,,3.731,1.089,,22588876,
149,A Thousand Words,40000000,48.522,5.9,42314,91,"Comedy,Drama",0.0,47.0,PG-13,3/9/2012,123.0,44.0,5.781,9.2465,11.1922,22044277,18450127.0
150,22 Bullets,24000000,90.129,6.6,34426,117,"Action,Crime,Drama",46.0,55.0,,0,,,4.206,5.3995,7.3802,21695883,
151,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,0,11.276,7.3,42,90,Animation,,,,0,,,15.264,15.264,5.2874,21645379,
152,Just Wright,0,17.099,5.9,14455,101,"Comedy,Romance,Sport",46.0,61.0,PG,5/14/2010,117.0,36.125,2.269,4.468333333,13.645199999999999,21584424,21540363.0
153,My Soul to Take,25000000,9.422,4.7,20419,107,"Horror,Mystery,Thriller",10.0,26.0,R,10/8/2010,132.0,41.0,7.502,3.335666667,8.672,21500813,14744435.0
154,Our Family Wedding,14000000,9.362,5.0,7164,103,"Comedy,Romance",15.0,48.0,PG-13,3/12/2010,122.0,34.625,1.735,1.243,8.750399999999999,21409028,20255281.0
155,Astral City: A Spiritual Journey,12000000,8.959,6.4,3100,103,"Drama,Fantasy",,67.0,,0,,,1.313,15.264,2.3310000000000004,21218935,
156,71: Into the Fire,10400000,10.882,7.3,5444,120,"Action,Drama,War",,90.0,,0,,,1.96,15.264,6.5996,20967660,
