,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
42,42,42,Bridget Jones's Baby,211952420,24252420,11.4,187700000,88.6,78.0,65.0,R,SharonMaguire,"TimBevan,EricFellner,DebraHayward",9-16-2016,24100000.0,6.5,74457,movie,Bridget Jones's Baby,0,2016,123,"Comedy,Drama,Romance"
43,43,43,Me Before You,208314186,56245075,27,152069111,73,54.0,73.0,PG-13,TheaSharrock,"KarenRosenfelt,AlisonOwen",6-3-2016,56200000.0,7.4,240680,movie,Me Before You,0,2016,106,"Drama,Romance"
44,44,44,London Has Fallen,205754447,62524260,30.4,143230187,69.6,28.0,50.0,R,BabakNajafi,"GerardButler,AlanSiegel,MattO'Toole,MarkGill,LesWeldon,JohnThompson",3-4-2016,62500000.0,5.9,155438,movie,London Has Fallen,0,2016,99,"Action,Thriller"
45,45,45,Arrival,203388186,100546139,49.4,102842047,50.6,94.0,82.0,PG-13,DenisVilleneuve,"ShawnLevy,DanLevine,AaronRyder,DavidLinde",11-11-2016,100500000.0,7.9,665147,movie,Arrival,0,2016,116,"Drama,Sci-Fi"
46,46,46,The BFG,195243411,55483770,28.4,139759641,71.6,74.0,57.0,PG,StevenSpielberg,"StevenSpielberg,FrankMarshall,SamMercer",7-1-2016,55500000.0,6.4,84335,movie,The BFG,0,2016,117,"Adventure,Family,Fantasy"
47,47,47,The Monkey King 2,193678298,709982,0.4,192968316,99.6,100.0,51.0,,Pou-SoiCheang,,2-5-2016,709.6K,5.9,3138,movie,Xi you ji zhi: Sun Wukong san da Baigu Jing,0,2016,119,"Action,Adventure,Fantasy"
48,48,48,Bad Moms,183936074,113257297,61.6,70678777,38.4,58.0,63.0,R,"JonLucas,ScottMoore","SuzanneTodd,BillBlock",7-29-2016,113200000.0,6.2,122585,movie,Bad Moms,0,2016,100,Comedy
49,49,49,Storks,183388953,72679278,39.6,110709675,60.4,65.0,62.0,PG,"NicholasStoller,DougSweetland","BradLewis,NicholasStoller",9-23-2016,72700000.0,6.8,61077,movie,Storks,0,2016,87,"Adventure,Animation,Comedy"
50,50,50,From Vegas to Macau III,181732879,-,-,181732879,100,20.0,12.0,,"JingWong,AndrewLauWai-Keung","JingWong,AndrewLauWai-Keung,ConnieWong",,347.6K,2.3,3214,movie,Du cheng feng yun III,0,2016,113,"Comedy,Drama"
51,51,51,Hacksaw Ridge,180563636,67209615,37.2,113354021,62.8,84.0,91.0,R,MelGibson,"BillMechanic,DavidPermut,TerryBenedict,PaulCurrie,BruceDavey,WilliamD.Johnson,TylerThompson,BrianOliver",11-4-2016,67000000.0,8.1,497127,movie,Hacksaw Ridge,0,2016,139,"Biography,Drama,History"
52,52,52,Allegiant,179246868,66184051,36.9,113062817,63.1,29.0,41.0,R,MichaelConnors,"DarylFreimark,SeanMullin",12-28-2012,,5.7,118898,movie,Allegiant,0,2016,120,"Action,Adventure,Mystery"
53,53,53,Operation Mekong,173839072,800012,0.5,173039060,99.5,80.0,62.0,,DanteLam,,9-30-2016,799.6K,6.5,4688,movie,Mei Gong he xing dong,0,2016,124,"Action,Adventure,Crime"
54,54,54,The Girl on the Train,173185859,75395035,43.5,97790824,56.5,9.0,20.0,,RibhuDasgupta,"VivekB.Agrawal,ShibashishSarkar",,,6.5,183837,movie,The Girl on the Train,0,2016,112,"Crime,Drama,Mystery"
55,55,55,The Huntsman: Winter's War,164989338,48390190,29.3,116599148,70.7,20.0,45.0,PG-13,CedricNicolas-Troyan,JoeRoth,4-22-2016,48000000.0,6.1,107494,movie,The Huntsman: Winter's War,0,2016,114,"Action,Adventure,Drama"
56,56,56,The Magnificent Seven,162360636,93432655,57.5,68927981,42.5,64.0,71.0,PG-13,AntoineFuqua,"RogerBirnbaum,ToddBlack",9-23-2016,93400000.0,6.9,207043,movie,The Magnificent Seven,0,2016,132,"Action,Adventure,Western"
