,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
110,110,Hellboy,55064690,21903748,39.8,33160942,60.2,18.0,48.0,R,NeilMarshall,"LawrenceGordon,LloydLevin,MikeRichardson,PhilipWestgren,CarlHampe,JohnThompson,MatthewO'Toole,LesWeldon,YarivLerner",4-12-2019,21900000.0,5.2,87270,movie,Hellboy,0,2019,120,"Action,Adventure,Fantasy"
111,111,Long Shot,53873809,30316271,56.3,23557538,43.7,81.0,74.0,R,JonathanLevine,"CharlizeTheron,A.J.Dix,BethKono,EvanGoldberg,SethRogen,JamesWeaver",5-3-2019,30300000.0,6.8,107825,movie,Long Shot,0,2019,125,"Comedy,Romance"
112,112,Kingdom,50574061,-,-,50574061,100,51.0,76.0,R,PeterBerg,"MichaelMann,ScottStuber",9-28-2007,47500000.0,6.6,2194,movie,Kingudamu,0,2019,134,"Action,History,War"
113,113,Breakthrough,50444358,40713082,80.7,9731276,19.3,63.0,79.0,PG,RoxannDawson,DeVonFranklin,4-17-2019,40700000.0,5.1,207,movie,Preboj,0,2019,90,"Drama,War"
114,114,Breakthrough,50444358,40713082,80.7,9731276,19.3,63.0,79.0,PG,RoxannDawson,DeVonFranklin,4-17-2019,40700000.0,6.2,9556,movie,Breakthrough,0,2019,116,"Biography,Drama"
115,115,Just Mercy,50401502,36001502,71.4,14400000,28.6,85.0,99.0,PG-13,DestinDanielCretton,"GilNetter,AsherGoldstein,MichaelB.Jordan",1-10-2020,36000000.0,7.6,63867,movie,Just Mercy,0,2019,137,"Biography,Crime,Drama"
116,116,Uncut Gems,50023780,50023780,100,-,-,92.0,52.0,R,"BenSafdie,JoshuaSafdie","SebastianBear-McClard,OscarBoyson",12-25-2019,50000000.0,7.4,263048,movie,Uncut Gems,0,2019,135,"Crime,Drama,Thriller"
117,117,21 Bridges,49939757,28539757,57.1,21400000,42.9,54.0,91.0,R,BrianKirk,"AnthonyRusso,JoeRusso,MikeLarocca,RobertSimonds,GigiPritzker,ChadwickBoseman,LoganColes",11-22-2019,28500000.0,6.6,63243,movie,21 Bridges,0,2019,99,"Action,Thriller"
118,118,Song of Youth,49615508,-,-,49615508,100,,,,,,,,6.2,277,movie,Lao shi · Hao,0,2019,112,"Comedy,Drama"
119,119,Little,48987096,40860481,83.4,8126615,16.6,12.0,55.0,PG-13,KeenenIvoryWayans,"RickAlvarez,LeeR.Mayes,KeenenIvoryWayans,MarlonWayans,ShawnWayans,JoeRoth",7-14-2006,58300000.0,5.5,13168,movie,Little,0,2019,109,"Comedy,Fantasy,Romance"
120,120,Isn't It Romantic,48791187,48791187,100,-,-,70.0,47.0,PG-13,ToddStrauss-Schulson,"GinaMatthews,GrantScharbo,ToddGarner",2-13-2019,48800000.0,5.9,68406,movie,Isn't It Romantic,0,2019,89,"Comedy,Fantasy,Musical"
121,121,The Legend of Hei,48507082,-,-,48507082,100,,91.0,,MTJJMutou,"FangbingCong,WenzhuoMa",,,7.2,1391,movie,Luo Xiao Hei zhan ji,0,2019,101,"Action,Adventure,Animation"
122,122,Countdown,48021766,25621766,53.4,22400000,46.6,26.0,72.0,PG-13,JustinDec,"JohnRickard,ZackSchiller,JohnMorris,SeanAnders",10-25-2019,25600000.0,5.4,35628,movie,Countdown,0,2019,90,"Horror,Thriller"
123,123,Midsommar,47863365,27426361,57.3,20437004,42.7,83.0,63.0,R,AriAster,"PatrikAndersson,LarsKnudsen",8-30-2019,27400000.0,7.1,281605,movie,Midsommar,0,2019,148,"Drama,Horror,Mystery"
124,124,Queen & Slim,47860909,43808310,91.5,4052599,8.5,83.0,92.0,R,MelinaMatsoukas,"JamesFrey,LenaWaithe,MelinaMatsoukas,MichelleKnudsen,AndrewColes,BradWeston,PamelaAbdy",11-27-2019,43800000.0,7.1,30411,movie,Queen & Slim,0,2019,132,"Crime,Drama,Romance"
125,125,47 Meters Down: Uncaged,47582563,22260900,46.8,25321663,53.2,45.0,68.0,PG-13,JohannesRoberts,"JamesHarris,MarkLane,RobertJones",8-16-2019,22300000.0,5.0,25134,movie,47 Meters Down: Uncaged,0,2019,90,"Adventure,Drama,Horror"
126,126,Chasing the Dragon II: Wild Wild Bunch,45733356,196634,0.4,45536722,99.6,78.0,58.0,,"JingWong,JasonKwanChi-Yiu",JingWong,6-7-2019,194.6K,5.8,622,movie,Chui lung II,0,2019,101,"Action,Biography,Crime"
127,127,Judy,45701880,24313888,53.2,21387992,46.8,82.0,85.0,PG-13,RupertGoold,DavidLivingstone,9-27-2019,24300000.0,6.8,49181,movie,Judy,0,2019,118,"Biography,Drama,Romance"
128,128,Child's Play,44907074,29208403,65,15698671,35,64.0,57.0,R,LarsKlevberg,"DavidKatzenberg,SethGrahame-Smith",6-21-2019,29200000.0,5.7,50473,movie,Child's Play,0,2019,90,"Drama,Horror,Sci-Fi"
129,129,Richard Jewell,43745542,22345542,51.1,21400000,48.9,77.0,96.0,R,ClintEastwood,"ClintEastwood,TimMoore,JessicaMeier,KevinMisher,LeonardoDiCaprio,JenniferDavissonKilloran,JonahHill",12-13-2019,22300000.0,7.5,82649,movie,Richard Jewell,0,2019,131,"Biography,Crime,Drama"
130,130,Harriet,43347017,43082155,99.4,264862,0.6,73.0,97.0,PG-13,KasiLemmons,"GregoryAllenHoward,DanielaTaplinLundberg,DebraMartinChase",11-1-2019,43000000.0,6.6,25649,movie,Harriet,0,2019,125,"Action,Biography,Drama"
131,131,A Shaun the Sheep Movie: Farmageddon,43100248,-,-,43100248,100,96.0,80.0,G,"RichardPhelan,WillBecher",PaulKewley,,,6.8,13318,movie,A Shaun the Sheep Movie: Farmageddon,0,2019,86,"Adventure,Animation,Comedy"
132,132,Fighting with My Family,40812363,22958886,56.3,17853477,43.7,93.0,86.0,PG-13,StephenMerchant,"KevinMisher,DwayneJohnson,DanyGarcia,StephenMerchant,MichaelJ.Luisi",2-22-2019,23000000.0,7.1,78846,movie,Fighting with My Family,0,2019,108,"Biography,Comedy,Drama"
133,133,Masquerade Hotel,40396244,-,-,40396244,100,,,,,,,,6.3,1749,movie,Masukarêdo hoteru,0,2019,133,"Crime,Drama,Mystery"
134,134,The Last Wish,39756292,-,-,39756292,100,,,,Yu-shengTian,,9-20-2019,,5.2,131,movie,Xiao xiao de yuan wang,0,2019,107,Drama
135,135,Uri: The Surgical Strike,39346577,4186168,10.6,35160409,89.4,,,,,,,,8.4,57870,movie,Uri: The Surgical Strike,0,2019,138,"Action,Drama,History"
136,136,Overcomer,38026103,34746945,91.4,3279158,8.6,56.0,98.0,PG,AlexKendrick,"AaronBurns,StephenKendrick,JustinTolley",8-23-2019,34700000.0,6.6,4756,movie,Overcomer,0,2019,119,"Drama,Family,Sport"
137,137,Pain and Glory,37359689,4567338,12.2,32792351,87.8,96.0,91.0,R,PedroAlmodóvar,"AgustínAlmodóvar,EstherGarcía",10-4-2019,4600000.0,7.5,56399,movie,Dolor y gloria,0,2019,113,Drama
138,138,A Witness Out of the Blue,37092694,-,-,37092694,100,,,,,,,,6.1,609,movie,Fan zui xian chang,0,2019,104,"Crime,Mystery,Thriller"
139,139,The Intruder,36599361,35419122,96.8,1180239,3.2,33.0,68.0,PG-13,DeonTaylor,"RoxanneAvent,DeonTaylor,MarkBurg,JonathanSchwartz,BradKaplan",5-3-2019,35400000.0,5.6,16987,movie,The Intruder,0,2019,102,Thriller
140,140,The Queen's Corgi,35515687,-,-,35515687,100,0.0,34.0,PG,"VincentKesteloot,BenStassen",,,,4.8,6633,movie,The Queen's Corgi,0,2019,85,"Animation,Comedy,Family"
141,141,The Battle: Roar to Victory,34148707,-,-,34148707,100,,100.0,,WonSinyeon,KimTae-won,8-16-2019,,6.3,684,movie,The Battle: Roar to Victory,0,2019,135,"Action,Drama,History"
142,142,The Bad Guys: The Movie,34024386,166972,0.5,33857414,99.5,,,,,,,,6.1,1469,movie,Nappeun nyeoseogdeul: Deo mubi,0,2019,114,"Action,Crime,Thriller"
143,143,The Good Liar,33856058,17156058,50.7,16700000,49.3,63.0,85.0,R,BillCondon,"GregYolen,BillCondon",11-15-2019,17100000.0,6.7,39396,movie,The Good Liar,0,2019,109,"Crime,Drama,Mystery"
144,144,The Art of Racing in the Rain,33766787,26395642,78.2,7371145,21.8,44.0,96.0,PG,SimonCurtis,"NealH.Moritz,PatrickDempsey,TaniaLandau",8-9-2019,26400000.0,7.6,29865,movie,The Art of Racing in the Rain,0,2019,109,"Comedy,Drama,Romance"
145,145,Bharat,33185983,2971549,9,30214434,91,32.0,51.0,,AliAbbasZafar,"AtulAgnihotri,AlviraKhan,KrishanKumar",6-5-2019,2900000.0,4.9,30525,movie,Bharat,0,2019,150,"Action,Comedy,Drama"
146,146,Brightburn,32893421,17300439,52.6,15592982,47.4,57.0,67.0,R,DavidYarovesky,"JamesGunn,KennethHuang",5-24-2019,17300000.0,6.1,93649,movie,Brightburn,0,2019,90,"Drama,Horror,Mystery"
