Unnamed: 0,Movie Title,Release-Date,moviename,release_date,budget,year,cleaned_budget,cleaned_release_date,rd
1792,Nightlife,,Nightlife,,,2020.0,,,
1793,Howling Village,2021-08-13,,,,,,,2021-08-13
1795,Samjin Company English Class,,Samjin Company English Class,"
October 21, 2020 (2020-10-21)
",,2020.0,,2020-10-21,2020-10-21
1797,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"
September 11, 2020 (2020-09-11)
",,2020.0,,2020-09-11,2020-09-11
1798,Ducobu 3,,Ducobu 3,,,2020.0,,,
1799,Wotakoi: Love Is Hard for Otaku,,Wotakoi: Love Is Hard for Otaku,"
February 7, 2020 (2020-02-07)
",,2020.0,,2020-02-07,2020-02-07
1802,30 jours max,,30 jours max,,,2020.0,,,
1803,The Voice of Sin,,The Voice of Sin,"
October 16, 1976 (1976-10-16)
",,2020.0,,1976-10-16,1976-10-16
1804,Bigfoot Family,,Bigfoot Family,"
August 5, 2020 (2020-08-05) (Belgium, France)
",,2020.0,,2020-08-05,2020-08-05
1805,Me contro Te - Il film: La vendetta del Signor S,,Me contro Te - Il film: La vendetta del Signor S,,,2020.0,,,
1807,Street Dancer 3D,,Street Dancer 3D,"
24 January 2020 (2020-01-24)
",₹97 crore,2020.0,97.0,2020-01-24,2020-01-24
1808,My Spy,2020-06-26,,,,,,,2020-06-26
1809,The Asadas,,The Asadas,"
October 2, 2020 (2020-10-02) (Japan)
",,2020.0,,2020-10-02,2020-10-02
1810,Stolen Identity 2,,Stolen Identity 2,,,2020.0,,,
1811,10 Days with Dad,,10 Days with Dad,,,2020.0,,,
1812,Secret Zoo,,Secret Zoo,"
January 15, 2020 (2020-01-15)
",₩10 billion(~US$8.1 million),2020.0,1000000.0,2020-01-15,2020-01-15
1813,365 Days,,365 Days,"
7 February 2020 (2020-02-07) (Poland)
",,2020.0,,2020-02-07,2020-02-07
1814,Okay Madam,,Okay Madam,,,2020.0,,,
1815,Malasaña 32,,,,,,,,
1816,Break the Silence: The Movie,2020-09-24,,,,,,,2020-09-24
1817,I Hate Summer,,I Hate Summer,,,2020.0,,,
1819,Les blagues de Toto,,Les blagues de Toto,,,2020.0,,,
1820,The Secret Garden,,The Secret Garden,"
7 August 2020 (2020-08-07) (United States)
23 October 2020 (2020-10-23) (United Kingdom)
",$20 million,2020.0,20000000.0,2020-10-23,2020-10-23
1821,Eltilerin Savasi,,Eltilerin Savasi,,,2020.0,,,
1822,Two by Two: Overboard!,,Two by Two: Overboard!,,,2020.0,,,
1824,Your Eyes Tell,,Your Eyes Tell,"
October 23, 2020 (2020-10-23) (Japan)
",,2020.0,,2020-10-23,2020-10-23
1825,AI Amok,,AI Amok,,,2020.0,,,
1826,The Lost Prince,,The Lost Prince,,,2020.0,,,
1827,Antoinette dans les Cévennes,,,,,,,,
1828,Antebellum,,Antebellum,"
September 18, 2020 (2020-09-18)
",$10 million,2020.0,10000000.0,2020-09-18,2020-09-18
