,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,Score
1147,Doraemon the Movie: Nobita and the Birth of Japan,0,13.617,6.8,709,104,"Adventure,Animation,Comedy",,,,0,,,15.264,15.264,,50939840,,
1148,The Wailing,10951000,22.121,7.4,64365,156,"Drama,Horror,Mystery",99.0,82.0,,5/20/2016,,67.625,5.734,15.264,8.189000000000000,49851770,,
1149,Two Is a Family,0,27.473,7.3,26104,118,"Comedy,Drama",,,,0,,,15.264,15.264,8.0244,49619118,,
1150,Luck-Key,0,12.703,6.9,2521,112,"Action,Comedy,Crime",,76.0,,0,,,0.0,1.673,13.5054,48913975,,
1151,Florence Foster Jenkins,29000000,13.392,6.8,55192,111,"Biography,Comedy,Drama",88.0,68.0,PG-13,8/12/2016,95.0,37.25,5.458,0.714,23.733,48902953,27383770.0,0.5946308725
1152,Mother's Day,25000000,16.688,5.6,36692,118,"Comedy,Drama,Romance",,,,4/29/2016,85.0,64.0,0.6,0.7985,17.333,48782670,32492859.0,0.7609297178
1153,A Monster Calls,43000000,26.944,7.5,86762,108,"Adventure,Drama,Family",86.0,81.0,PG-13,12/23/2017,178.0,40.125,5.945,1.991,20.147200000000000,47309313,3740823.0,0.4014962594
1154,Risen,20000000,139.874,6.3,27662,107,"Action,Drama,History",20.0,8.0,,2/19/2016,77.0,41.75,1.4,1.4,16.4588,46432579,36880033.0,0.3067885117
1155,Eddie the Eagle,23000000,20.529,7.4,91770,106,"Biography,Comedy,Drama",81.0,82.0,PG-13,2/26/2016,124.0,55.875,12.482,4.734,13.5242,46152800,15789389.0,0.9421000981
1156,Blair Witch,5000000,39.059,5.0,44737,89,"Horror,Mystery,Thriller",37.0,31.0,R,9/16/2016,109.0,40.875,7.81,2.07475,6.1172,45173154,20777061.0,-0.5067656045
1157,Boonie Bears: The Big Top Secret,0,7.399,4.9,178,99,Animation,,,,0,,,15.264,15.264,0.9804000000000000,45150390,,
1158,Café Society,30000000,15.346,6.6,76001,96,"Comedy,Drama,Romance",71.0,56.0,PG-13,7/15/2016,140.0,35.25,13.842,1.063333333,23.3536,43763247,11103205.0,
1159,League of Gods,38000000,28.631,4.5,2626,109,"Action,Fantasy",,,,0,,,15.264,15.264,17.9374,43498766,,
1160,Almost Christmas,17000000,10.017,6.1,6754,111,"Comedy,Drama",49.0,64.0,PG-13,11/11/2016,71.0,23.625,1.98,2.638,10.7268,42580920,42158780.0,0.803500847
1161,The Witch,4000000,49.742,6.9,237509,92,"Drama,Horror,Mystery",90.0,59.0,R,2/19/2016,101.0,46.5,18.773,1.157,14.528600000000000,40423945,25138705.0,-0.5718681319
1162,The Wild Life,0,4.894,6.0,2732,96,"Comedy,Drama",17.0,28.0,PG,9/9/2016,157.0,38.25,0.0,1.544,7.105,40075446,8005586.0,0.6915167095
1163,Love O2O,0,7.146,6.4,1002,103,"Drama,Romance",,,,0,,,15.264,15.264,7.867200000000000,39969537,,
1164,The Forest,10000000,37.316,4.8,42197,93,"Horror,Mystery,Thriller",,,,1/8/2016,98.0,59.25,15.264,15.264,9.289600000000000,39712000,26594261.0,0.1617757713
1165,Absolutely Fabulous: The Movie,0,14.256,5.4,12440,91,"Comedy,Crime",58.0,41.0,R,7/22/2016,171.0,46.5,1.7,1.036,10.8836,39219109,4772155.0,0.9251509054
1166,My Mom Is a Character 2,2000000,5.414,6.6,2700,88,Comedy,,,,0,,,15.264,15.264,1.5168,39195565,,
1167,"Crouching Tiger, Hidden Dragon: Sword of Destiny",20000000,21.745,6.1,19315,96,"Action,Adventure,Drama",20.0,39.0,PG-13,0,,,5.058,7.2665,23.6442,38659039,,
1168,Hell or High Water,12000000,23.637,7.6,223735,102,"Action,Crime,Drama",97.0,88.0,R,8/12/2016,97.0,70.25,1.769,4.3415,18.6406,37879877,27007844.0,-0.6619838229
1169,Mission Milano,0,1.407,3.9,289,103,"Action,Adventure,Comedy",,0.0,,0,,,8.039,0.6,14.0988,37749848,,
1170,The Handmaiden,8575000,36.959,8.1,136835,145,"Drama,Romance,Thriller",96.0,91.0,,10/21/2016,,43.75,10.827,9.466,14.0712,37767206,,
1171,Snowden,40000000,25.467,7.3,149420,134,"Biography,Crime,Drama",61.0,70.0,R,9/16/2016,106.0,45.5,7.534,1.2565,15.2544,37357216,21587519.0,0.1666666667
1172,Nobunaga Concerto: The Movie,0,4.522,6.3,429,126,"Adventure,Comedy,Sci-Fi",,,,0,,,15.264,15.264,9.2254,36187594,,
1173,Eye in the Sky,13000000,13.73,7.3,85001,102,"Action,Drama,Thriller",95.0,82.0,R,3/11/2016,118.0,42.875,2.375,6.037333333,16.3382,35259653,18704595.0,-0.05775075988
1174,Os Dez Mandamentos - O Filme,39307171,259.318,3.6,1140,120,"Adventure,Drama,Fantasy",,,,0,,,15.264,15.264,2.9954,37070177,,
1175,Bounty Hunters,0,4.67,4.5,504,98,"Action,Comedy,Drama",,,,0,,,15.264,15.264,4.8016,31918573,,
1176,Ae Dil Hai Mushkil,0,7.101,5.8,22871,158,"Drama,Music,Musical",50.0,44.0,,10/28/2016,175.0,31.125,2.353,1.287333333,6.335000000000000,31668920,4264983.0,0.2170542636
1177,Assassination Classroom: The Graduation,0,23.021,5.7,814,118,"Action,Adventure,Comedy",,70.0,,0,,,3.771,1.383,6.7898,31352921,,
1178,Billy Lynn's Long Halftime Walk,40000000,18.195,6.2,22393,113,"Action,Drama,Sport",43.0,41.0,R,11/18/2016,,62.0,6.644,2.98925,16.5896,30930984,,
1179,Norm of the North,7000000,16.053,3.5,9319,88,"Adventure,Animation,Comedy",6.0,22.0,PG,1/15/2016,122.0,23.875,0.84,1.057,16.9612,30734502,17062499.0,0.6423611111
1180,When the Bough Breaks,10000000,20.153,5.1,6904,107,"Drama,Thriller",12.0,45.0,PG-13,9/9/2016,91.0,26.25,3.069,2.3345,8.3004,30658387,29747603.0,0.3947730399
1181,Nocturnal Animals,22500000,58.511,7.5,267575,116,"Drama,Thriller",74.0,73.0,R,11/18/2016,144.0,66.625,3.072,2.67,23.7344,30311857,10663357.0,0.4742268041
1182,A Silent Voice: The Movie,0,179.544,8.1,73792,130,"Animation,Drama",,,,0,,,15.264,15.264,9.094,30156463,,
1183,Keeping Up with the Joneses,40000000,24.473,5.9,62285,105,"Action,Comedy",19.0,37.0,PG-13,10/21/2016,126.0,32.5,5.082,6.1795,23.7988,29918745,14904426.0,0.6057619409
1184,Jackie,9000000,21.915,6.7,78439,100,"Biography,Drama",88.0,60.0,R,12/2/2016,163.0,46.375,4.088,2.5072,17.877,29777777,13960394.0,0.4442435202
1185,Masterminds,25000000,23.712,5.8,54796,95,"Biography,Comedy,Crime",,,,9/30/2016,120.0,27.375,15.264,15.264,21.8568,29674699,17368022.0,0.40367597
1186,Flight Crew,10000000,26.752,6.6,5389,138,"Action,Adventure,Drama",,58.0,,0,,,1.153,4.260666667,10.5828,29171110,,
1187,M.S. Dhoni: The Untold Story,0,7.841,8.1,52700,184,"Biography,Drama,Sport",75.0,78.0,,9/30/2016,,18.5,1.62,0.6,5.926,28903047,,
1188,Welcome to Germany,0,0.93,6.7,77,102,Drama,,,,0,,,15.264,15.264,4.4542,28036021,,
1189,The Brothers Grimsby,35000000,35.745,6.2,100049,83,"Action,Adventure,Comedy",36.0,41.0,R,3/11/2016,160.0,41.25,7.598,3.7852,17.465,27979040,6874837.0,0.1520223152
1190,The Light Between Oceans,20000000,30.31,7.2,55940,133,"Drama,Romance",62.0,61.0,PG-13,9/2/2016,134.0,32.125,1.216,1.837,12.3992,25975621,12545979.0,0.4197707736
1191,A Beautiful Planet,0,6.707,7.3,1344,46,Documentary,100.0,78.0,G,4/29/2016,156.0,31.0,0.6,0.6,,25730120,15650615.0,0.9850187266
1192,Mr. Donkey,0,2.989,7.4,1731,113,Comedy,,88.0,,10/28/2016,,20.375,0.0,15.264,2.6082,25537759,,
1193,Born in China,0,16.278,7.2,3817,79,Documentary,83.0,73.0,G,4/21/2017,123.0,23.375,0.6,2.182,,25081168,13873211.0,0.7324525186
1194,Call of Heroes,32000000,20.853,6.4,2329,120,"Action,Adventure,Crime",88.0,64.0,,0,,,1.543,1.543,12.404,25040561,,
1195,Free State of Jones,50000000,29.809,6.9,57175,139,"Action,Biography,Drama",47.0,64.0,R,6/24/2016,108.0,34.125,10.546,5.280666667,15.6908,25035950,20810036.0,0.7790893761
1196,Whiskey Tango Foxtrot,35000000,11.854,6.6,52354,112,"Biography,Comedy,Drama",67.0,54.0,R,3/4/2016,105.0,30.625,0.0,6.758,17.009,24972139,23083334.0,0.1641791045
1197,Soulmate,0,3.491,5.0,831,104,"Horror,Mystery",,27.0,,0,,,1.876,0.6,5.771200000000000,24684439,,
1198,The Snow Queen 3: Fire and Ice,0,10.56,6.1,2220,89,"Adventure,Animation,Comedy",,95.0,,8/31/2018,,24.625,4.034,1.2125,1.238,24644317,,
1199,God's Not Dead 2,5000000,110.841,4.4,12410,120,Drama,10.0,62.0,PG,4/1/2016,110.0,32.75,1.528,1.7364,14.238,24487848,20774575.0,0.9035656402
1200,Camping 3,0,7.332,4.3,976,105,Comedy,,,,0,,,15.264,15.264,4.166,24224579,,
1201,The Founder,15000000,38.536,7.2,144379,115,"Biography,Drama",80.0,82.0,PG-13,1/19/2017,126.0,50.75,7.841,9.078666667,18.934400000000000,24121245,12786053.0,-0.03166783955
1202,Bad Santa 2,26000000,20.508,5.6,25377,92,"Comedy,Crime,Drama",23.0,34.0,R,11/23/2016,119.0,38.0,4.04,1.352,12.9806,24079268,17782178.0,-0.5602137279
1203,Spirits' Homecoming,0,2.854,6.7,527,127,Drama,,38.0,,0,,,2.786,2.786,2.0548,23857217,,
1204,Kevin Hart: What Now?,9900000,9.099,5.9,9431,96,"Comedy,Documentary",76.0,58.0,R,10/14/2016,104.0,27.125,0.0,0.72,13.3424,23600000,23591043.0,0.7718223583
1205,No manches Frida,0,108.828,5.5,2301,114,"Comedy,Romance",13.0,72.0,PG-13,9/2/2016,139.0,28.5,2.598,8.914,10.372,23540937,11528613.0,0.1706161137
1206,Middle School: The Worst Years of My Life,8500000,20.122,6.1,8909,92,"Animation,Comedy,Family",64.0,58.0,PG,10/7/2016,112.0,39.875,4.385,1.628,12.1582,23316139,20007149.0,-0.9205225912
1207,Triple 9,20000000,29.453,6.3,71423,115,"Action,Crime,Thriller",54.0,41.0,R,2/26/2016,133.0,41.125,2.142,1.308,16.1804,23177948,12639297.0,0.3870307167
1208,The Choice,10000000,18.805,6.5,39509,111,"Drama,Romance",11.0,61.0,PG-13,2/5/2016,117.0,47.0,1.388,2.020666667,21.87,23064015,18730891.0,
1209,Penny Pincher!,0,12.4,5.8,5282,89,Comedy,,,,0,,,15.264,15.264,6.871600000000000,22955486,,
1210,Star Wars: Episode VIII - The Last Jedi,200000000,81.64,6.9,608098,152,"Action,Adventure,Fantasy",,,,12/15/2017,1.0,24.25,15.264,15.264,14.805,1332698830,620181382.0,-0.7931034483
1211,The Fate of the Furious,250000000,185.15,6.6,225701,136,"Action,Crime,Thriller",67.0,72.0,PG-13,4/14/2017,10.0,31.5,5.49,15.95875,31.9112,1238764765,226008385.0,-0.7552039967
1212,Despicable Me 3,80000000,94.326,6.3,128233,89,"Adventure,Animation,Comedy",59.0,53.0,PG,6/30/2017,8.0,52.5,0.0,4.2655,18.8306,1034799409,264624300.0,0.6454293629
1213,Jumanji: Welcome to the Jungle,90000000,81.408,6.9,362255,119,"Action,Adventure,Comedy",76.0,87.0,PG-13,12/20/2017,18.0,52.625,5.916,2.224,23.0024,962102237,404515480.0,0.9417794178
1214,Spider-Man: Homecoming,175000000,247.315,7.4,621059,133,"Action,Adventure,Sci-Fi",92.0,87.0,PG-13,7/7/2017,5.0,41.0,11.955,8.5805,44.295,880166924,334201140.0,0.5898305085
1215,Wolf Warrior 2,29700000,21.519,5.9,7892,123,"Action,Adventure,Drama",69.0,75.0,,7/28/2017,194.0,32.75,35.249,15.264,13.1782,870325439,2721100.0,0.5510204082
1216,Guardians of the Galaxy Vol. 2,200000000,120.23,7.6,643923,136,"Action,Adventure,Comedy",85.0,87.0,PG-13,5/5/2017,4.0,61.5,6.918,11.621,28.8666,863756051,389813101.0,0.6650406504
1217,Thor: Ragnarok,180000000,187.087,7.9,689404,130,"Action,Adventure,Comedy",93.0,87.0,PG-13,11/3/2017,7.0,54.125,27.66,11.621,22.1006,853977126,315058289.0,0.6384615385
1218,Coco,175000000,265.404,8.4,470986,105,"Adventure,Animation,Comedy",97.0,94.0,PG,11/22/2017,13.0,76.375,4.14,1.388,9.3056,807816196,210460015.0,0.5175332527
1219,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,164.248,6.6,293265,129,"Action,Adventure,Fantasy",30.0,60.0,PG-13,5/26/2017,17.0,38.5,0.0,4.75,28.854600000000000,794861794,172558876.0,-0.9663730985
1220,It,35000000,106.441,7.3,512692,135,Horror,,,,9/8/2017,6.0,78.75,15.264,15.264,16.2154,701842551,327481748.0,0.3088782562
1221,Logan,97000000,100.947,8.1,722278,137,"Action,Drama,Sci-Fi",94.0,90.0,R,3/3/2017,9.0,37.0,6.24,5.078666667,14.3874,619021436,226277068.0,0.4820766378
1222,Transformers: The Last Knight,217000000,107.77,5.2,147431,154,"Action,Adventure,Sci-Fi",15.0,43.0,PG-13,6/21/2017,24.0,36.25,16.464,2.1495,21.3444,605425157,130168683.0,0.4759358289
1223,Kong: Skull Island,185000000,92.322,6.7,308699,118,"Action,Adventure,Fantasy",75.0,69.0,PG-13,3/10/2017,19.0,38.75,2.588,3.476,31.1142,566652812,168052812.0,0.5641447368
1224,Dunkirk,100000000,40.216,7.8,626776,106,"Action,Drama,History",92.0,81.0,PG-13,7/21/2017,12.0,39.625,15.857,14.426,38.6176,527000000,188045546.0,0.4270967742
1225,War for the Planet of the Apes,150000000,74.686,7.4,248309,140,"Action,Adventure,Drama",94.0,84.0,PG-13,7/14/2017,22.0,33.125,20.631,5.72775,14.5946,490719763,146880162.0,-0.6772260274
1226,The Greatest Showman,84000000,45.269,7.6,269697,105,"Biography,Drama,Musical",56.0,86.0,PG,12/20/2017,55.0,47.375,6.033,2.404333333,33.412,434993183,174340174.0,0.9501407318
1227,Kingsman: The Golden Circle,104000000,106.694,6.7,314774,141,"Action,Adventure,Comedy",50.0,64.0,R,9/22/2017,35.0,40.5,13.649,7.49,19.1192,410902662,100229647.0,0.5947467167
1228,The Mummy,80000000,64.856,7.1,417588,124,"Action,Adventure,Fantasy",16.0,35.0,PG-13,6/9/2017,40.0,40.25,12.523,6.65425,14.2142,415885488,80227895.0,0.1682872102
1229,Cars 3,175000000,154.299,6.7,92215,102,"Adventure,Animation,Comedy",69.0,69.0,G,6/16/2017,21.0,38.5,3.223,6.65,17.617600000000000,383930656,152901115.0,0.7264742785
1230,Fifty Shades Darker,55000000,123.022,4.6,99765,118,"Drama,Romance",11.0,48.0,R,2/10/2017,30.0,39.5,4.312,3.455,12.838400000000000,381545846,114581250.0,0.6224783862
1231,Murder on the Orient Express,55000000,50.288,6.5,240587,114,"Crime,Drama,Mystery",90.0,78.0,PG,11/10/2017,34.0,,10.078,1.333,30.4944,352794081,102826543.0,-0.4009942005
1232,xXx: Return of Xander Cage,85000000,94.645,5.2,90820,107,"Action,Adventure,Comedy",45.0,37.0,PG-13,1/20/2017,63.0,79.75,5.081,14.168,16.9342,346147658,44898413.0,0.5093696763
1233,Never Say Die,0,3.352,5.4,179,90,"Action,Comedy",,43.0,,0,,,2.78,15.264,7.5470000000000000,334530869,,
1234,The Lego Batman Movie,80000000,95.763,7.3,144507,104,"Action,Adventure,Animation",90.0,80.0,PG,2/10/2017,14.0,50.375,4.984,4.3585,21.3398,311950384,175750384.0,0.6187919463
1235,The Ex-File 3: The Return of The Exes,0,1.905,5.6,475,120,"Comedy,Romance",,46.0,,12/29/2017,,,0.0,15.264,4.547,307592427,,
1236,Annabelle: Creation,15000000,98.948,6.5,128947,109,"Horror,Mystery,Thriller",71.0,67.0,R,8/11/2017,32.0,36.875,2.257,8.8285,12.2134,306515884,102092201.0,0.6174242424
1237,Ferdinand,111000000,88.372,6.7,55257,108,"Adventure,Animation,Comedy",72.0,52.0,PG,12/15/2017,51.0,58.875,2.712,2.038,13.3356,296069199,84410380.0,0.5501222494
