moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Faster,"
November 24, 2010 (2010-11-24)
",$24 million,2010.0,24000000.0,2010-11-24
The Kids Are All Right,"
January 25, 2010 (2010-01-25) (Sundance Film Festival)
July 9, 2010 (2010-07-09) (United States)
",$4 million,2010.0,4000000.0,2010-07-09
Camping 2,,,2010.0,,
Arthur 3: The War of the Two Worlds,"
October 13, 2010 (2010-10-13) (France)
March 22, 2011 (2011-03-22) (United States)
",€65 million($91 million),2010.0,91000000.0,2011-03-22
Leap Year,"
January 6, 2010 (2010-01-06) (New York City)
January 8, 2010 (2010-01-08) (United States)
February 26, 2010 (2010-02-26) (Ireland)
",$19 million,2010.0,19000000.0,2010-02-26
Potiche,"
4 September 2010 (2010-09-04) (Venice Film Festival)
10 November 2010 (2010-11-10)
",$13.2 million,2010.0,2000000.0,2010-11-10
You Again,"
September 24, 2010 (2010-09-24)
",$20 million,2010.0,20000000.0,2010-09-24
The Losers,"
April 23, 2010 (2010-04-23)
",$25 million,2010.0,25000000.0,2010-04-23
Sacrifice,"
23 October 2020 (2020-10-23) (Mainland China)
19 November 2020 (2020-11-19) (Hong Kong)
",,2020.0,,2020-11-19
The Lady Shogun and Her Men,,,2010.0,,
Legend of the Fist: The Return of Chen Zhen,"
21 September 2010 (2010-09-21) (China)
23 September 2010 (2010-09-23) (Hong Kong)
",¥120 million,2010.0,120000000.0,2010-09-23
Ramona and Beezus,"
July 23, 2010 (2010-07-23) (United States)
",$15 million,2010.0,15000000.0,2010-07-23
Let Me In,"
3 September 2010 (2010-09-03) (Telluride Film Festival)
15 September 2010 (2010-09-15) (United States)
11 February 2011 (2011-02-11) (United Kingdom)
",US$15 million,2010.0,15000000.0,2011-02-11
Biutiful,"
17 May 2010 (2010-05-17) (Cannes)
22 October 2010 (2010-10-22) (Mexico)
3 December 2010 (2010-12-03) (Spain)
",$35 million,2010.0,35000000.0,2010-12-03
Elle s'appelait Sarah,"
16 September 2010 (2010-09-16) (TIFF)
",$9.2 million,2010.0,2000000.0,2010-09-16
Lottery Ticket,"
August 20, 2010 (2010-08-20)
",$17 million,2010.0,17000000.0,2010-08-20
Liar Game: The Final Stage,,,2010.0,,
The Way Back,"
March 6, 2020 (2020-03-06)
",$21–25 million,2020.0,25000000.0,2020-03-06
The Way Back,"
March 6, 2020 (2020-03-06)
",$21–25 million,2020.0,25000000.0,2020-03-06
Da Xiao Jiang Hu,,,2010.0,,
Act of Vengeance,"
5 November 2010 (2010-11-05)
","$21,000,000 million",2010.0,21000000000000.0,2010-11-05
Under the Hawthorn Tree,"
15 September 2010 (2010-09-15)
",,2010.0,,2010-09-15
Recep Ivedik 3,"
February 12, 2010 (2010-02-12)
",,2010.0,,2010-02-12
A Thousand Words,,,2010.0,,
22 Bullets,"
24 March 2010 (2010-03-24)
",$20 million,2010.0,20000000.0,2010-03-24
Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,,,2010.0,,
Just Wright,"
May 14, 2010 (2010-05-14)
",$12 million,2010.0,12000000.0,2010-05-14
My Soul to Take,"
October 8, 2010 (2010-10-08)
",$25 million,2010.0,25000000.0,2010-10-08
Our Family Wedding,,,2010.0,,
Astral City: A Spiritual Journey,"
September 3, 2010 (2010-09-03)
","$10,000,000",2010.0,10000000.0,2010-09-03
71: Into the Fire,"
June 16, 2010 (2010-06-16)
",,2010.0,,2010-06-16
Country Strong,"
November 8, 2010 (2010-11-08) (Nashville)
December 22, 2010 (2010-12-22) (United States)
",$12–15 million,2010.0,15000000.0,2010-12-22
Beck,,,2010.0,,
How Not to Rescue a Princess,,,2010.0,,
About Her Brother,,,2010.0,,
Trick the Movie: Psychic Battle Royale,,,2010.0,,
Another Year,"
15 May 2010 (2010-05-15) (Cannes)
5 November 2010 (2010-11-05)
",$8 million,2010.0,8000000.0,2010-11-05
Youth in Revolt,"
October 19, 2009 (2009-10-19) (DAFF)
January 8, 2010 (2010-01-08) (United States)
",$18 million,2010.0,18000000.0,2010-01-08
Hot Summer Days,,,2010.0,,
Buried,"
September 24, 2010 (2010-09-24)
",$2 million,2010.0,2000000.0,2010-09-24
The Servant,"
June 3, 2010 (2010-06-03)
",,2010.0,,2010-06-03
Norwegian Wood,"
2 September 2010 (2010-09-02) (Venice)
11 December 2010 (2010-12-11) (Japan)
",,2010.0,,2010-12-11
Head Over Heels,,,2010.0,,
Harry Potter and the Deathly Hallows: Part 2,"
7 July 2011 (2011-07-07) (Trafalgar Square)
15 July 2011 (2011-07-15) (United Kingdom and United States)
",$250 million(shared with Part 1),2011.0,1000000.0,2011-07-15
Transformers: Dark of the Moon,"
June 23, 2011 (2011-06-23) (Moscow International Film Festival[1])
June 29, 2011 (2011-06-29) (United States[2][3])
",$195 million,2011.0,195000000.0,2011-06-29
Pirates of the Caribbean: On Stranger Tides,,Total (5 films): $1.274–1.364 billion,2011.0,36400000000.0,
The Twilight Saga: Breaking Dawn - Part 1,"
October 30, 2011 (2011-10-30) (Rome Film Festival)
November 18, 2011 (2011-11-18) (United States)
",$127 million,2011.0,127000000.0,2011-11-18
Mission: Impossible - Ghost Protocol,"
December 7, 2011 (2011-12-07) (Dubai International Film Festival)
December 16, 2011 (2011-12-16) (United States)
",$145 million,2011.0,145000000.0,2011-12-16
Kung Fu Panda 2,,,2011.0,,
Fast Five,"
April 15, 2011 (2011-04-15) (Rio de Janeiro)
April 29, 2011 (2011-04-29) (United States)
",$125 million,2011.0,125000000.0,2011-04-29
The Hangover Part II,"
May 19, 2011 (2011-05-19) (TCL Chinese Theatre)
May 26, 2011 (2011-05-26) (United States)
",$80 million,2013.0,80000000.0,2011-05-26
The Smurfs,"
July 31, 2013 (2013-07-31)[1]
",$105 million,2013.0,105000000.0,2013-07-31
Cars 2,"
June 18, 2011 (2011-06-18) (Hollywood)
June 24, 2011 (2011-06-24) (United States)
",$200 million,2011.0,200000000.0,2011-06-24
