Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2010-11-19,Harry Potter and the Deathly Hallows: Part 1,"$280,230,127","$295,983,305",7,Warner Bros.,,,
2010-11-19,The Next Three Days,"$21,102,239","$21,148,651",120,Lionsgate,,,
2010-11-20,The Blind Side,"$59,396,157","$255,959,475",57,Warner Bros.,,,
2010-11-20,The Twilight Saga: New Moon,"$12,111,242","$296,623,634",136,Summit Entertainment,,,
2010-11-20,Broken Embraces,"$3,431,551","$5,014,305",175,Sony Pictures Classics,,,
2010-11-20,Planet 51,"$2,783,781","$42,194,060",186,Sony Pictures Entertainment (SPE),,,
2010-11-24,Tangled,"$161,284,390","$200,821,936",14,Walt Disney Studios Motion Pictures,,,
2010-11-24,Burlesque,"$37,403,047","$39,440,655",87,Screen Gems,,,
2010-11-24,Love & Other Drugs,"$31,099,481","$32,367,005",98,Twentieth Century Fox,,,
2010-11-24,Faster,"$22,799,866","$23,240,020",115,CBS Films,,,
2010-11-25,The Princess and the Frog,"$28,365,871","$104,400,899",102,Walt Disney Studios Motion Pictures,,,
2010-11-25,Old Dogs,"$2,963,487","$49,492,060",183,Walt Disney Studios Motion Pictures,,,
2010-11-25,The Road,"$1,798,592","$8,117,000",199,-,,,
2010-11-26,The King's Speech,"$17,674,034","$135,453,143",127,The Weinstein Company,,,
2010-12-03,Black Swan,"$40,866,343","$106,954,678",80,Fox Searchlight Pictures,,,
2010-12-03,The Warrior's Way,"$5,559,395","$5,666,340",162,Relativity Media,,,
2010-12-04,Up in the Air,"$50,168,168","$83,823,381",68,Paramount Pictures,,,
2010-12-04,Brothers,"$2,321,378","$28,544,157",193,Lionsgate,,,
2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$80,066,097","$104,386,950",39,Twentieth Century Fox,,,
2010-12-10,The Tourist,"$49,966,965","$67,631,157",69,Sony Pictures Entertainment (SPE),,,
2010-12-10,The Fighter,"$39,041,794","$93,617,009",83,Paramount Pictures,,,
2010-12-11,The Lovely Bones,"$43,795,809","$44,114,232",74,DreamWorks,,,
2010-12-11,Invictus,"$10,814,231","$37,491,364",138,Warner Bros.,,,
2010-12-11,A Single Man,"$7,931,309","$9,176,000",149,The Weinstein Company,,,
2010-12-16,Crazy Heart,"$38,983,106","$39,464,306",84,Fox Searchlight Pictures,,,
2010-12-17,TRON: Legacy,"$117,540,071","$172,062,763",20,Walt Disney Studios Motion Pictures,,,
2010-12-17,Yogi Bear,"$57,418,550","$100,246,011",61,Warner Bros.,,,
