,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
169,The Way of the Bug,Xiao Shenyang,2.725,Pan Binlong,6.61,Vivian Sung,11.196,Chin Shih-Chieh,5.285,Liu Hua,2.173,169,30355804,-,-,30355804,100,,,,,,,,4.3,36,movie,The Way of the Bug,0,2018,99,Comedy
170,Clergy,Nigel De Brulier,0.84,Virginia Brown Faire,1.818,Boris Karloff,4.94,Percy Marmont,1.413,Thomas Holding,0.694,170,30114115,-,-,30114115,100,,,,,,,,7.4,5621,movie,Kler,0,2018,133,Drama
171,Ice,Ray Romano,9.767,John Leguizamo,11.213,Denis Leary,16.184,Goran Visnjic,13.067,Jack Black,23.771,171,29806210,-,-,29806210,100,77.0,82.0,PG,ChrisWedge,LoriForte,3-15-2002,176400000.0,6.9,3245,movie,Lyod,0,2018,113,"Drama,Musical,Romance"
172,Free Solo,Alex Honnold,0.84,Tommy Caldwell,0.6,Jimmy Chin,1.604,Sanni McCandless,0.6,Mikey Schaefer,0.6,172,29390279,17541090,59.7,11849189,40.3,97.0,93.0,PG-13,"ElizabethChaiVasarhelyi,JimmyChin","ElizabethChaiVasarhelyi,JimmyChin,EvanHayes,ShannonDill",9-28-2018,17500000.0,8.1,64699,movie,Free Solo,0,2018,100,"Adventure,Documentary,Sport"
173,Dark Figure of Crime,Kim Yoon-seok,7.465,Ju Ji-hoon,9.937,Moon Jeong-hee,7.714,Jin Sun-kyu,3.382,Jung Jong-joon,0.6,173,29176133,-,-,29176133,100,80.0,71.0,,KimTae-gyun,ShinYoung-il,,,6.7,2034,movie,Amsusarin,0,2018,110,"Crime,Drama"
174,Pad Man,Akshay Kumar,3.945,Radhika Apte,6.296,Sonam Kapoor,2.46,Jyoti Subhash,2.778,Mrinmayee Godbole,0.98,174,29045020,1670192,5.8,27374828,94.2,74.0,90.0,PG-13,R.Balki,TwinkleKhanna,2-9-2018,1700000.0,8.0,25149,movie,Padman,0,2018,140,"Biography,Comedy,Drama"
175,Mirai,Moka Kamishiraishi,4.568,Haru Kuroki,9.143,Gen Hoshino,5.694,Kumiko Aso,11.778,Mitsuo Yoshihara,0.982,175,28756961,812794,2.8,27944167,97.2,90.0,80.0,PG,MamoruHosoda,YuichiroSaito,11-29-2018,682.2K,7.0,15216,movie,Mirai no Mirai,0,2018,98,"Adventure,Animation,Drama"
176,Default,Senyo Amoaku,3.262,Jeanne Baron,0.6,David Oyelowo,6.407,Greg Callahan,1.4,Katherine Moennig,11.835,176,27694043,203775,0.7,27490268,99.3,33.0,33.0,,SimónBrand,,10-17-2014,,6.7,1238,movie,Gukgabudo-ui nal,0,2018,114,"Drama,History"
177,The Happytime Murders,Melissa McCarthy,12.641,Bill Barretta,2.898,Elizabeth Banks,14.855,Joel McHale,9.666,Maya Rudolph,11.778,177,27506452,20706452,75.3,6800000,24.7,23.0,39.0,R,BrianHenson,"BrianHenson,JeffreyHayes,MelissaMcCarthy,BenFalcone",8-24-2018,20700000.0,5.4,27602,movie,The Happytime Murders,0,2018,91,"Action,Comedy,Crime"
178,Midnight Sun,Bella Thorne,13.724,Patrick Schwarzenegger,7.073,Rob Riggle,11.964,Quinn Shephard,5.697,Ken Tremblett,2.419,178,27365467,9561064,34.9,17804403,65.1,21.0,55.0,PG-13,ScottSpeer,"JenGatien,TraceyJeffrey,JohnRickard,ZackSchiller",3-23-2018,9600000.0,6.6,29675,movie,Midnight Sun,0,2018,91,"Drama,Romance"
