,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,81,,,,,,,,,,,36065638,-,-,36065638,100,,,,,,,,8.8,24,movie,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,0,2021,147,Music
82,I Fell in Love Like a Flower Bouquet,82,Masaki Suda,9.285,Kasumi Arimura,24.14,Kaya Kiyohara,17.293,Kanata Hosoda,9.218,Joe Odagiri,3.567,34975905,-,-,34975905,100,,,,,,,,7.3,1605,movie,Hanataba mitaina koi wo shita,0,2021,124,"Drama,Romance"
83,Malignant,83,Annabelle Wallis,40.876,Maddie Hasson,11.773,George Young,3.325,Michole Briana White,7.208,Jean Louisa Kelly,8.571,33991791,13391791,39.4,20600000,60.6,76.0,52.0,R,JamesWan,"JamesWan,MichaelClear",9-10-2021,13400000.0,6.3,79209,movie,Malignant,0,2021,111,"Crime,Horror,Mystery"
84,Big Red Envelope,84,Bao Bei Er,7.902,Clara Lee,10.63,Zhang Yiming,0.6,Jia Bing,1.96,Xu Juncong,1.216,32800000,-,-,32800000,100,,,,,,,,4.7,38,movie,Big Red Envelope,0,2021,122,\N
85,Masquerade Night,85,Takuya Kimura,10.54,Masami Nagasawa,13.437,Fumiyo Kohinata,2.967,Zen Kajihara,1.686,Eisuke Sasai,4.475,32287400,-,-,32287400,100,,,,,,,,6.4,272,movie,Masquerade Night,0,2021,129,"Crime,Drama,Mystery"
86,Once Upon a Time in Hong Kong,86,Louis Koo,16.886,Tony Leung Ka-fai,11.318,Francis Ng,8.953,Gordon Lam,8.718,Philip Keung,6.731,32218874,-,-,32218874,100,,,,,,,,5.5,151,movie,Once Upon a Time in Hong Kong,0,2021,105,"Action,Crime,History"
87,Home Sweet Home,87,Ellie Kemper,14.265,Rob Delaney,8.391,Archie Yates,4.318,Aisling Bea,10.28,Pete Holmes,7.99,32178677,-,-,32178677,100,,,,JuanMas,J.D.DeWitt,,,5.4,317,movie,Mi mi fang ke,0,2021,110,"Drama,Mystery,Thriller"
88,Respect,88,Jennifer Hudson,3.43,Forest Whitaker,11.654,Marlon Wayans,12.773,Audra McDonald,5.26,Mary J. Blige,5.134,32104126,24278399,75.6,7825727,24.4,68.0,95.0,PG-13,LieslTommy,"HarveyMasonJr.,ScottBernstein,JonathanGlickman,StaceySher",8-13-2021,24300000.0,6.5,11397,movie,Respect,0,2021,145,"Biography,Drama,Music"
89,The Unholy,89,Jeffrey Dean Morgan,17.9,Cricket Brown,8.763,William Sadler,19.708,Katie Aselton,6.761,Cary Elwes,19.0,30832137,15532137,50.4,15300000,49.6,26.0,56.0,PG-13,EvanSpiliotopoulos,"SamRaimi,RobTapert,EvanSpiliotopoulos",4-2-2021,15500000.0,5.1,18805,movie,The Unholy,0,2021,99,"Drama,Horror,Mystery"
90,The Last Duel,90,Matt Damon,23.323,Adam Driver,18.735,Jodie Comer,29.463,Harriet Walter,10.693,Ben Affleck,23.439,30552111,10853945,35.5,19698166,64.5,85.0,81.0,R,RidleyScott,"RidleyScott,KevinJ.Walsh,JenniferFox,NicoleHolofcener",10-15-2021,10800000.0,7.4,132489,movie,The Last Duel,0,2021,152,"Action,Drama,History"
