movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Acrimony,464502,tt6063050,Taraji P. Henson,12.785,Danielle Nicolet,16.266,Ajiona Alexus,8.285,Lyriq Bent,6.816,Jazmyn Simon,4.984
Asterix: The Secret of the Magic Potion,527729,tt8001346,Christian Clavier,6.446,Guillaume Briat,1.296,Alex Lutz,1.887,Alexandre Astier,2.219,Élie Semoun,3.611
Bajrangi Bhaijaan 2018 Re-release,,,,,,,,,,,,
Winchester,416234,tt1072748,Helen Mirren,17.793,Jason Clarke,23.125,Sarah Snook,11.204,Finn Scicluna-O'Prey,3.42,Emm Wiseman,1.57
Annihilation,919689,tt16611138,Arie Thompson,1.732,William Baldwin,16.007,Noel Gugliemi,24.947,Rashod Freelove,0.6,Kennedy Porter,0.694
The Possession of Hannah Grace,434555,tt5734576,Shay Mitchell,9.809,Grey Damon,7.539,Stana Katic,17.986,Louis Herthum,4.935,J.P. Valenti,0.608
Long Day's Journey Into Night,616411,tt9564432,Laurie Metcalf,8.89,Kyle Soller,1.919,David Suchet,8.263,,,,
Overlord,438799,tt4530422,Jovan Adepo,5.14,Wyatt Russell,13.14,Pilou Asbæk,6.117,Mathilde Ollivier,5.627,John Magaro,12.954
The Great Battle,271235,tt0196182,,,,,,,,,,
The Darkest Minds,445651,tt4073790,Amandla Stenberg,8.136,Harris Dickinson,16.789,Patrick Gibson,7.799,Skylan Brooks,6.706,Mandy Moore,15.654
"Lost, Found",39964,tt0120836,David Spade,24.188,Sophie Marceau,24.143,Ever Carradine,11.212,Stephanie Chang,0.6,Neal MacMillan,0.6
Holmes & Watson,426563,tt1255919,Will Ferrell,13.839,John C. Reilly,9.918,Rebecca Hall,27.441,Rob Brydon,7.675,Kelly Macdonald,14.977
Intimate Strangers,266869,tt0076202,Sally Struthers,4.634,Dennis Weaver,15.179,Tyne Daly,10.291,Larry Hagman,10.86,Melvyn Douglas,1.467
