movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Snowman,372343,tt1758810,Michael Fassbender,14.93,Rebecca Ferguson,48.521,Charlotte Gainsbourg,17.55,Val Kilmer,15.625,J.K. Simmons,17.78
Gifted,400928,tt4481414,Chris Evans,15.319,Mckenna Grace,57.227,Lindsay Duncan,13.962,Jenny Slate,19.87,Octavia Spencer,10.21
Loving Vincent,339877,tt3262342,Douglas Booth,15.673,Eleanor Tomlinson,19.565,Robert Gulaczyk,7.021,Helen McCrory,16.673,Saoirse Ronan,21.955
Mary and the Witch's Flower,430447,tt6336356,Yuki Amami,7.501,Ryunosuke Kamiki,9.834,Hana Sugisaki,10.312,Fumiyo Kohinata,2.967,Hikari Mitsushima,8.084
Call Me by Your Name,398818,tt5726616,Timothée Chalamet,34.52,Armie Hammer,23.554,Michael Stuhlbarg,11.286,Amira Casar,8.039,Esther Garrel,5.95
T2 Trainspotting,180863,tt2763304,Ewan McGregor,15.899,Jonny Lee Miller,8.681,Ewen Bremner,8.578,Robert Carlyle,10.303,Anjela Nedyalkova,5.986
Fist Fight,345922,tt3401882,Charlie Day,18.088,Ice Cube,14.542,Tracy Morgan,8.707,Jillian Bell,8.74,Christina Hendricks,19.454
The Circle,339988,tt4287320,Emma Watson,69.598,Tom Hanks,27.299,John Boyega,7.174,Karen Gillan,37.205,Ellar Coltrane,4.242
Diary of a Wimpy Kid: The Long Haul,417830,tt6003368,Jason Ian Drucker,2.151,Alicia Silverstone,12.941,Tom Everett Scott,12.887,Charlie Wright,2.14,Owen Asztalos,5.191
Brotherhood of Blades 2,291692,tt4019426,Chang Chen,9.659,Wang Qian-Yuan,1.371,Liu Shishi,6.93,Li Dongxue,6.688,Chin Shih-Chieh,5.285
Midnight Runners,453127,tt7056732,Park Seo-jun,9.474,Kang Ha-neul,12.181,Sung Dong-il,9.355,Park Ha-sun,6.185,Go Joon,5.302
The King,476669,tt6856242,Ralph Fiennes,32.618,Harris Dickinson,16.789,Gemma Arterton,23.064,Rhys Ifans,55.189,Djimon Hounsou,35.554
Pokémon the Movie: I Choose You!,436931,tt6595896,Rica Matsumoto,3.599,Ikue Otani,8.898,Megumi Hayashibara,7.296,Shin-ichiro Miki,11.136,Inuko Inuyama,5.466
Home Again,427900,tt5719700,Reese Witherspoon,14.224,Pico Alexander,9.811,Michael Sheen,13.665,Candice Bergen,13.121,Nat Wolff,11.21
The Adventurers,452551,tt5866930,Andy Lau,16.233,Shu Qi,15.112,Tony Yang,8.399,Zhang Jingchu,10.233,Jean Reno,22.274
"Tad, the Lost Explorer, and the Secret of King Midas",452773,tt3896102,Óscar Barberán,0.996,Michelle Jenner,8.068,Adriana Ugarte,10.203,Luis Posada ,1.614,Miguel Ángel Jenner,0.86
