Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,TwitterScore,Profit,final_budget,percent_diff
You Are the Apple of My Eye,0,30.862,6.1,374,114,"Drama,Romance",,,,1899-12-30,,55.375,0.0,0.0,5.3646,29843025,,88.5209713,#DIV/0!,1700000.0,inf
Torrente 4,0,14.192,5.4,5050,93,"Action,Comedy,Crime",,,,1899-12-30,,,0.0,0.0,5.9896,29737384,,,#DIV/0!,0.0,0.0
Unfair: The Answer,0,1.4,6.1,161,109,"Crime,Drama",,,,1899-12-30,,22.5,0.84,0.0,7.392,29166054,,-21.62162162,#DIV/0!,0.0,0.0
Yolki 2,0,4.565,6.2,2376,96,"Comedy,Drama,Family",,,,1899-12-30,,,0.0,0.0,4.797,28719002,,,#DIV/0!,0.0,0.0
The Women on the 6th Floor,0,7.874,7.1,10215,102,Comedy,67.0,67.0,,1899-12-30,,,2.115,0.6,5.329,27533970,,,#DIV/0!,7000000.0,inf
Ivan Tsarevich & the Grey Wolf,0,3.873,6.2,1242,75,"Adventure,Animation,Comedy",,,,1899-12-30,,,1.694,0.0,2.3058,26420475,,,#DIV/0!,0.0,0.0
Eyyvah Eyvah 2,0,4.024,6.7,14657,106,Comedy,,76.0,,1899-12-30,,,2.961,1.312,,24792348,,,#DIV/0!,0.0,0.0
In His Chart,0,1.035,6.0,159,128,Drama,,,,1899-12-30,,,0.0,0.0,6.7032,23384864,,,#DIV/0!,0.0,0.0
Andalucia: Revenge of the Goddess,0,0.907,6.1,129,125,"Action,Drama",,,,1899-12-30,,,0.0,0.0,6.9004,22929221,,-100,#DIV/0!,0.0,0.0
Qualunquemente,0,7.271,6.1,2872,96,Comedy,,40.0,,1899-12-30,,38.75,0.6,0.0,1.9756,22862029,,-5.263157895,#DIV/0!,0.0,0.0
